asof,ticker
2003-01-31,A
2003-01-31,AAPL
2003-01-31,ABC
2003-01-31,ABT
2003-01-31,ADBE
2003-01-31,ADI
2003-01-31,ADM
2003-01-31,ADP
2003-01-31,ADSK
2003-01-31,AEE
2003-02-28,A
2003-02-28,AAPL
2003-02-28,ABC
2003-02-28,ABT
2003-02-28,ADBE
2003-02-28,ADI
2003-02-28,ADM
2003-02-28,ADP
2003-02-28,ADSK
2003-02-28,AEE
2003-03-31,A
2003-03-31,AAPL
2003-03-31,ABC
2003-03-31,ABT
2003-03-31,ADBE
2003-03-31,ADI
2003-03-31,ADM
2003-03-31,ADP
2003-03-31,ADSK
2003-03-31,AEE
2003-04-30,A
2003-04-30,AAPL
2003-04-30,ABC
2003-04-30,ABT
2003-04-30,ADBE
2003-04-30,ADI
2003-04-30,ADM
2003-04-30,ADP
2003-04-30,ADSK
2003-04-30,AEE
2003-05-30,A
2003-05-30,AAPL
2003-05-30,ABC
2003-05-30,ABT
2003-05-30,ADBE
2003-05-30,ADI
2003-05-30,ADM
2003-05-30,ADP
2003-05-30,ADSK
2003-05-30,AEE
2003-06-30,A
2003-06-30,AAPL
2003-06-30,ABC
2003-06-30,ABT
2003-06-30,ADBE
2003-06-30,ADI
2003-06-30,ADM
2003-06-30,ADP
2003-06-30,ADSK
2003-06-30,AEE
2003-07-31,A
2003-07-31,AAPL
2003-07-31,ABC
2003-07-31,ABT
2003-07-31,ADBE
2003-07-31,ADI
2003-07-31,ADM
2003-07-31,ADP
2003-07-31,ADSK
2003-07-31,AEE
2003-08-29,A
2003-08-29,AAPL
2003-08-29,ABC
2003-08-29,ABT
2003-08-29,ADBE
2003-08-29,ADI
2003-08-29,ADM
2003-08-29,ADP
2003-08-29,ADSK
2003-08-29,AEE
2003-09-30,A
2003-09-30,AAPL
2003-09-30,ABC
2003-09-30,ABT
2003-09-30,ADBE
2003-09-30,ADI
2003-09-30,ADM
2003-09-30,ADP
2003-09-30,ADSK
2003-09-30,AEE
2003-10-31,A
2003-10-31,AAPL
2003-10-31,ABC
2003-10-31,ABT
2003-10-31,ADBE
2003-10-31,ADI
2003-10-31,ADM
2003-10-31,ADP
2003-10-31,ADSK
2003-10-31,AEE
2003-11-28,A
2003-11-28,AAPL
2003-11-28,ABC
2003-11-28,ABT
2003-11-28,ADBE
2003-11-28,ADI
2003-11-28,ADM
2003-11-28,ADP
2003-11-28,ADSK
2003-11-28,AEE
2003-12-31,A
2003-12-31,AAPL
2003-12-31,ABC
2003-12-31,ABT
2003-12-31,ADBE
2003-12-31,ADI
2003-12-31,ADM
2003-12-31,ADP
2003-12-31,ADSK
2003-12-31,AEE
2004-01-30,A
2004-01-30,AAPL
2004-01-30,ABC
2004-01-30,ABT
2004-01-30,ADBE
2004-01-30,ADI
2004-01-30,ADM
2004-01-30,ADP
2004-01-30,ADSK
2004-01-30,AEE
2004-02-27,A
2004-02-27,AAPL
2004-02-27,ABC
2004-02-27,ABT
2004-02-27,ADBE
2004-02-27,ADI
2004-02-27,ADM
2004-02-27,ADP
2004-02-27,ADSK
2004-02-27,AEE
2004-03-31,A
2004-03-31,AAPL
2004-03-31,ABC
2004-03-31,ABT
2004-03-31,ADBE
2004-03-31,ADI
2004-03-31,ADM
2004-03-31,ADP
2004-03-31,ADSK
2004-03-31,AEE
2004-04-30,A
2004-04-30,AAPL
2004-04-30,ABC
2004-04-30,ABT
2004-04-30,ADBE
2004-04-30,ADI
2004-04-30,ADM
2004-04-30,ADP
2004-04-30,ADSK
2004-04-30,AEE
2004-05-31,A
2004-05-31,AAPL
2004-05-31,ABT
2004-05-31,ADBE
2004-05-31,ADI
2004-05-31,ADM
2004-05-31,ADP
2004-05-31,ADSK
2004-05-31,AEE
2004-05-31,AEP
2004-06-30,A
2004-06-30,AAPL
2004-06-30,ABC
2004-06-30,ABT
2004-06-30,ADBE
2004-06-30,ADI
2004-06-30,ADM
2004-06-30,ADP
2004-06-30,ADSK
2004-06-30,AEE
2004-07-30,A
2004-07-30,AAPL
2004-07-30,ABC
2004-07-30,ABT
2004-07-30,ADBE
2004-07-30,ADI
2004-07-30,ADM
2004-07-30,ADP
2004-07-30,ADSK
2004-07-30,AEE
2004-08-31,A
2004-08-31,AAPL
2004-08-31,ABC
2004-08-31,ABT
2004-08-31,ADBE
2004-08-31,ADI
2004-08-31,ADM
2004-08-31,ADP
2004-08-31,ADSK
2004-08-31,AEE
2004-09-30,UPS
2004-09-30,CAG
2004-09-30,NYT
2004-09-30,DTE
2004-09-30,GIS
2004-09-30,GPC
2004-09-30,ITT
2004-09-30,IFF
2004-09-30,SO
2004-09-30,BF.B
2004-10-29,GIS
2004-10-29,CAG
2004-10-29,TAP
2004-10-29,BF.B
2004-10-29,NYT
2004-10-29,HBAN
2004-10-29,PEP
2004-10-29,SO
2004-10-29,UNP
2004-10-29,CINF
2004-11-30,DTE
2004-11-30,AEE
2004-11-30,D
2004-11-30,GIS
2004-11-30,CAG
2004-11-30,HBAN
2004-11-30,USB
2004-11-30,SO
2004-11-30,PPL
2004-11-30,NYT
2004-12-31,TGNA
2004-12-31,BF.B
2004-12-31,SHW
2004-12-31,BBT
2004-12-31,ITT
2004-12-31,AEE
2004-12-31,FHN
2004-12-31,WFC
2004-12-31,D
2004-12-31,DTE
2005-01-31,BF.B
2005-01-31,SO
2005-01-31,HBAN
2005-01-31,AEE
2005-01-31,PNW
2005-01-31,XEL
2005-01-31,ITW
2005-01-31,UNP
2005-01-31,ALL
2005-01-31,PLD
2005-02-28,SO
2005-02-28,ED
2005-02-28,XEL
2005-02-28,HBAN
2005-02-28,TGNA
2005-02-28,CAG
2005-02-28,WFC
2005-02-28,AEE
2005-02-28,RF
2005-02-28,TJX
2005-03-31,SO
2005-03-31,AEE
2005-03-31,K
2005-03-31,TGNA
2005-03-31,RRD
2005-03-31,MKC
2005-03-31,PGR
2005-03-31,NI
2005-03-31,GIS
2005-03-31,ED
2005-04-29,SO
2005-04-29,TGNA
2005-04-29,TJX
2005-04-29,MDP
2005-04-29,D
2005-04-29,ED
2005-04-29,MKC
2005-04-29,HBAN
2005-04-29,GIS
2005-04-29,UPS
2005-05-31,SO
2005-05-31,CAG
2005-05-31,TGNA
2005-05-31,NEE
2005-05-31,GIS
2005-05-31,NYT
2005-05-31,AEE
2005-05-31,PLD
2005-05-31,RF
2005-05-31,GPC
2005-06-30,GIS
2005-06-30,TGNA
2005-06-30,MKC
2005-06-30,K
2005-06-30,SO
2005-06-30,PG
2005-06-30,NOC
2005-06-30,BF.B
2005-06-30,PNW
2005-06-30,PLD
2005-07-29,PBI
2005-07-29,GIS
2005-07-29,NEE
2005-07-29,VZ
2005-07-29,MDP
2005-07-29,SO
2005-07-29,NOC
2005-07-29,CMCSA
2005-07-29,TJX
2005-07-29,D
2005-08-31,SYY
2005-08-31,ED
2005-08-31,PBI
2005-08-31,VZ
2005-08-31,SO
2005-08-31,CVG
2005-08-31,NI
2005-08-31,AEE
2005-08-31,CLX
2005-08-31,PNW
2005-09-30,HBAN
2005-09-30,NI
2005-09-30,CVG
2005-09-30,AEE
2005-09-30,K
2005-09-30,SO
2005-09-30,PNW
2005-09-30,ED
2005-09-30,PPL
2005-09-30,VZ
2005-10-31,VNO
2005-10-31,AN
2005-10-31,CVG
2005-10-31,WEN
2005-10-31,FE
2005-10-31,SO
2005-10-31,ED
2005-10-31,HBAN
2005-10-31,WFC
2005-10-31,WY
2005-11-30,CVG
2005-11-30,AEE
2005-11-30,RRD
2005-11-30,DTE
2005-11-30,GIS
2005-11-30,K
2005-11-30,HBAN
2005-11-30,PPL
2005-11-30,NEE
2005-11-30,XEL
2005-12-30,SSP
2005-12-30,CAG
2005-12-30,CVG
2005-12-30,AEE
2005-12-30,KO
2005-12-30,DTE
2005-12-30,SO
2005-12-30,ALL
2005-12-30,RRD
2005-12-30,MKC
2006-01-31,BAC
2006-01-31,WFC
2006-01-31,PEP
2006-01-31,KEY
2006-01-31,RF
2006-01-31,GPC
2006-01-31,GIS
2006-01-31,AFL
2006-01-31,HBAN
2006-01-31,NEE
2006-02-28,SO
2006-02-28,VNO
2006-02-28,CINF
2006-02-28,SSP
2006-02-28,HBAN
2006-02-28,BAC
2006-02-28,ED
2006-02-28,PRU
2006-02-28,RF
2006-02-28,ECL
2006-03-31,SO
2006-03-31,ED
2006-03-31,PEP
2006-03-31,VNO
2006-03-31,BAC
2006-03-31,NEE
2006-03-31,CVG
2006-03-31,FE
2006-03-31,AEE
2006-03-31,NKE
2006-04-28,NKE
2006-04-28,SRE
2006-04-28,PEP
2006-04-28,GIS
2006-04-28,PRU
2006-04-28,HBAN
2006-04-28,GPC
2006-04-28,BAC
2006-04-28,CINF
2006-04-28,AFL
2006-05-31,PEP
2006-05-31,ED
2006-05-31,NKE
2006-05-31,CINF
2006-05-31,GNW
2006-05-31,GPC
2006-05-31,SO
2006-05-31,PG
2006-05-31,WEN
2006-05-31,HBAN
2006-06-30,GPC
2006-06-30,HBAN
2006-06-30,GNW
2006-06-30,AN
2006-06-30,SPG
2006-06-30,PRU
2006-06-30,BF.B
2006-06-30,SPGI
2006-06-30,BDX
2006-06-30,OXY
2006-07-31,GNW
2006-07-31,SO
2006-07-31,ETN
2006-07-31,PRU
2006-07-31,HIG
2006-07-31,EQR
2006-07-31,OXY
2006-07-31,SSP
2006-07-31,SPG
2006-07-31,GPC
2006-08-31,CBE
2006-08-31,HBAN
2006-08-31,GNW
2006-08-31,SPG
2006-08-31,ED
2006-08-31,SO
2006-08-31,GPC
2006-08-31,NKE
2006-08-31,CLX
2006-08-31,PRU
2006-09-29,GNW
2006-09-29,STZ
2006-09-29,PLD
2006-09-29,SPG
2006-09-29,GPC
2006-09-29,DHR
2006-09-29,PPL
2006-09-29,CVG
2006-09-29,MBI
2006-09-29,XOM
2006-10-31,PEP
2006-10-31,ED
2006-10-31,HBAN
2006-10-31,K
2006-10-31,GPC
2006-10-31,D
2006-10-31,CVG
2006-10-31,BAC
2006-10-31,RTN
2006-10-31,UTX
2006-11-30,PEP
2006-11-30,CVG
2006-11-30,AFL
2006-11-30,CINF
2006-11-30,K
2006-11-30,BF.B
2006-11-30,PG
2006-11-30,SSP
2006-11-30,WFC
2006-11-30,KEY
2006-12-29,PEP
2006-12-29,ED
2006-12-29,CLX
2006-12-29,K
2006-12-29,CINF
2006-12-29,WFC
2006-12-29,LLY
2006-12-29,USB
2006-12-29,NOC
2006-12-29,ALL
2007-01-31,CFC
2007-01-31,CINF
2007-01-31,PBI
2007-01-31,CLX
2007-01-31,ED
2007-01-31,GIS
2007-01-31,CVG
2007-01-31,SO
2007-01-31,K
2007-01-31,GNW
2007-02-28,ALL
2007-02-28,USB
2007-02-28,CLX
2007-02-28,ECL
2007-02-28,BAC
2007-02-28,PG
2007-02-28,NI
2007-02-28,NOC
2007-02-28,AEE
2007-02-28,PNW
2007-03-30,USB
2007-03-30,SO
2007-03-30,PEP
2007-03-30,WFC
2007-03-30,CLX
2007-03-30,BLL
2007-03-30,KEY
2007-03-30,AXP
2007-03-30,PCG
2007-03-30,AEE
2007-04-30,USB
2007-04-30,XEL
2007-04-30,BF.B
2007-04-30,ED
2007-04-30,SO
2007-04-30,MDP
2007-04-30,PNW
2007-04-30,AEE
2007-04-30,BAC
2007-04-30,CLX
2007-05-31,USB
2007-05-31,SRE
2007-05-31,AEE
2007-05-31,K
2007-05-31,D
2007-05-31,ALL
2007-05-31,SO
2007-05-31,CL
2007-05-31,OMC
2007-05-31,CLX
2007-06-29,BAC
