,0
1962-01-31,0.0
1962-02-28,0.0
1962-03-31,0.0
1962-04-30,0.0
1962-05-31,0.0
1962-06-30,0.0
1962-07-31,0.0
1962-08-31,0.0
1962-09-30,0.0
1962-10-31,0.0
1962-11-30,0.0
1962-12-31,0.0
1963-01-31,0.0
1963-02-28,0.0
1963-03-31,0.0
1963-04-30,0.0
1963-05-31,0.0
1963-06-30,0.0
1963-07-31,0.0
1963-08-31,0.0
1963-09-30,0.0
1963-10-31,0.0
1963-11-30,0.0
1963-12-31,0.0
1964-01-31,0.0
1964-02-29,0.0
1964-03-31,0.0
1964-04-30,0.0
1964-05-31,0.0
1964-06-30,0.0
1964-07-31,0.0
1964-08-31,0.0
1964-09-30,0.0
1964-10-31,0.0
1964-11-30,0.0
1964-12-31,0.0
1965-01-31,0.0
1965-02-28,0.0
1965-03-31,0.0
1965-04-30,0.0
1965-05-31,0.0
1965-06-30,0.0
1965-07-31,0.0
1965-08-31,0.0
1965-09-30,0.0
1965-10-31,0.0
1965-11-30,0.0
1965-12-31,0.0
1966-01-31,0.0
1966-02-28,0.0
1966-03-31,0.0
1966-04-30,0.0
1966-05-31,0.0
1966-06-30,0.0
1966-07-31,0.0
1966-08-31,0.0
1966-09-30,0.0
1966-10-31,0.0
1966-11-30,0.0
1966-12-31,0.0
1967-01-31,0.0
1967-02-28,0.0
1967-03-31,0.0
1967-04-30,0.0
1967-05-31,0.0
1967-06-30,0.0
1967-07-31,0.0
1967-08-31,0.0
1967-09-30,0.0
1967-10-31,0.0
1967-11-30,0.0
1967-12-31,0.0
1968-01-31,0.0
1968-02-29,0.0
1968-03-31,0.0
1968-04-30,0.0
1968-05-31,0.0
1968-06-30,0.0
1968-07-31,0.0
1968-08-31,0.0
1968-09-30,0.0
1968-10-31,0.0
1968-11-30,0.0
1968-12-31,0.0
1969-01-31,0.0
1969-02-28,0.0
1969-03-31,0.0
1969-04-30,0.0
1969-05-31,0.0
1969-06-30,0.0
1969-07-31,0.0
1969-08-31,0.0
1969-09-30,0.0
1969-10-31,0.0
1969-11-30,0.0
1969-12-31,0.0
1970-01-31,0.0
1970-02-28,0.0
1970-03-31,0.0
1970-04-30,0.0
1970-05-31,0.0
1970-06-30,0.0
1970-07-31,0.0
1970-08-31,0.0
1970-09-30,0.0
1970-10-31,0.0
1970-11-30,0.0
1970-12-31,0.0
1971-01-31,0.0
1971-02-28,0.0
1971-03-31,0.0
1971-04-30,0.0
1971-05-31,0.0
1971-06-30,0.0
1971-07-31,0.0
1971-08-31,0.0
1971-09-30,0.0
1971-10-31,0.0
1971-11-30,0.0
1971-12-31,0.0
1972-01-31,0.0
1972-02-29,0.0
1972-03-31,0.0
1972-04-30,0.0
1972-05-31,0.0
1972-06-30,0.0
1972-07-31,0.0
1972-08-31,0.0
1972-09-30,0.0
1972-10-31,0.0
1972-11-30,0.0
1972-12-31,0.0
1973-01-31,0.0
1973-02-28,0.0
1973-03-31,0.0
1973-04-30,0.0
1973-05-31,0.0
1973-06-30,0.0
1973-07-31,0.0
1973-08-31,0.0
1973-09-30,0.0
1973-10-31,0.0
1973-11-30,0.0
1973-12-31,0.0
1974-01-31,0.0
1974-02-28,0.0
1974-03-31,0.0
1974-04-30,0.0
1974-05-31,0.0
1974-06-30,0.0
1974-07-31,0.0
1974-08-31,0.0
1974-09-30,0.0
1974-10-31,0.0
1974-11-30,0.0
1974-12-31,0.0
1975-01-31,0.0
1975-02-28,0.0
1975-03-31,0.0
1975-04-30,0.0
1975-05-31,0.0
1975-06-30,0.0
1975-07-31,0.0
1975-08-31,0.0
1975-09-30,0.0
1975-10-31,0.0
1975-11-30,0.0
