split,from,to,n_m,cagr,spy_cagr,edge_pp,sharpe,max_dd
A1,2011-01-01,2018-12-31,81,0.21186893283926622,0.11298712609873585,9.888180674053038,0.6677229173267251,-0.6817318400440153
A2,2015-01-01,2021-12-31,69,0.25303329144082554,0.1482767891952268,10.475650224559875,0.849289797361015,-0.5628907122443985
A3,2018-01-01,2024-12-31,72,0.032124155444796854,0.13719857315363915,-10.50744177088423,0.27902187692266545,-0.5957523062813511
R1_GFC,2008-01-01,2010-12-31,36,1.4765180253009693,-0.0278180889308145,150.4336114231784,1.4810701105574096,-0.4511448122917064
R2,2011-01-01,2013-12-31,31,-0.13797355133399924,0.16070003083277173,-29.867358216677097,0.047161129676202784,-0.6817318400440153
R3,2014-01-01,2016-12-31,32,0.5036762664424173,0.09040352032995713,41.32727461124601,1.613404508767872,-0.09499382749502484
R4,2017-01-01,2019-12-31,27,0.18073503609781372,0.15081113383528977,2.992390226252395,0.7307990779556834,-0.3260681029086988
R5_COVID,2020-01-01,2022-12-31,30,-0.18952779759692795,0.07618476354813275,-26.57125611450607,-0.27515150697621077,-0.4700225826434664
R6_AI,2023-01-01,2024-12-31,24,0.4200945579768949,0.25529470848293223,16.479984949396265,1.3110284143276572,-0.22539587354000584
STRICT,2021-01-01,2024-12-31,42,0.21755942910299386,0.13504417076790376,8.25152583350901,0.7692860519309663,-0.44993380702986896
