k,alpha_yr,p10,median,p90,mean,n_iters
2,0.0,49.2069847887967,49.2069847887967,49.2069847887967,49.2069847887967,30
2,0.02,40.143944550369966,47.6132792160827,49.2069847887967,45.65546251333679,30
2,0.04,33.451434568661504,41.621383379761696,49.2069847887967,41.509110318657,30
2,0.06,28.146760711973123,37.94147290781511,49.2069847887967,38.13865776504302,30
2,0.08,21.266336964568858,35.75124888317886,46.00386578087426,34.43853804092449,30
2,0.12,14.912662832865141,29.592864748576286,40.39576773174626,28.34977852557801,30
2,0.16,7.135668671615403,24.206032323639104,33.078016769724776,18.274655185050392,30
2,0.2,1.291779800481671,13.298579362922148,23.548251259614528,6.224331680607778,30
3,0.0,32.921835161350586,32.921835161350586,32.921835161350586,32.921835161350586,30
3,0.02,26.053264111431787,30.77227159593079,32.921835161350586,30.094718902019302,30
3,0.04,21.94357869208331,28.103896505551305,32.921835161350586,27.413511124666552,30
3,0.06,16.307022754764823,25.707354051198017,31.479949146691602,24.79224239251683,30
3,0.08,14.091197015010096,22.489134600984315,29.929763215741147,21.525164862921105,30
3,0.12,10.91184644808234,14.49735139396713,23.433304661675496,16.27670984397803,30
3,0.16,1.6879384995053797,9.803354791994966,18.934297931130445,10.076055585430996,30
3,0.2,-1.9176445606468981,4.11665117790232,13.395970807806151,4.159111069080233,30
