k,chr_q,hold,cap,scorer,n_months,cagr_full,spy_cagr_full,edge_full_pp,sharpe,max_dd,wf_mean_cagr,wf_median_cagr,wf_min_cagr,wf_n_beats_spy,wf_n_positive,wf_n_splits,sweep
1,0.45,6,0.4,ml_3plus6,254,0.40144263342152864,0.1248673490229737,27.657528439855493,0.7490728840108191,-0.6501517174255421,0.3609481253994812,0.2666367103471555,-0.08054546792364725,8,9,10,K
2,0.45,6,0.4,ml_3plus6,254,0.49206984788796704,0.1248673490229737,36.72024988649933,1.0404828594627589,-0.524989443700016,0.49390220416101877,0.37919170435136496,0.18818646641949233,10,10,10,K
3,0.45,6,0.4,ml_3plus6,254,0.3292183516135059,0.1248673490229737,20.43510025905322,0.917911027302647,-0.5125394081258634,0.32679419598894127,0.3159928480665568,0.1235021136329928,8,10,10,K
5,0.45,6,0.4,ml_3plus6,254,0.2386677357057212,0.1248673490229737,11.38003866827475,0.8108742063646203,-0.48808416874319677,0.24458658851188142,0.22497743181214536,0.09051602389257529,7,10,10,K
7,0.45,6,0.4,ml_3plus6,254,0.2155986928654252,0.1248673490229737,9.07313438424515,0.7922892557509102,-0.47476595154091333,0.21994601954529144,0.21249017846901763,0.07416643361655462,8,10,10,K
10,0.45,6,0.4,ml_3plus6,254,0.21309707343714046,0.1248673490229737,8.822972441416677,0.8433781714745826,-0.37226843467784204,0.21647148792495868,0.22282847619645818,0.0696827397495614,8,10,10,K
15,0.45,6,0.4,ml_3plus6,254,0.19757034173428822,0.1248673490229737,7.270299271131453,0.8846979141086019,-0.33248842083273267,0.20404232554149554,0.21154622847933302,0.0957119760252263,7,10,10,K
3,0.0,6,0.4,ml_3plus6,254,0.32743650542036096,0.1248673490229737,20.256915639738725,0.9123334231140032,-0.4240431136260941,0.284036703342058,0.23452282927595935,0.15386709597317694,9,10,10,chr_q
3,0.3,6,0.4,ml_3plus6,254,0.33403736159672115,0.1248673490229737,20.917001257374746,0.9215036043489673,-0.5125394081258635,0.3445991504616173,0.31779563414966416,0.17294722968228737,9,10,10,chr_q
3,0.4,6,0.4,ml_3plus6,254,0.33023258714262127,0.1248673490229737,20.536523811964756,0.9121485793940404,-0.5125394081258634,0.3284564052709443,0.31779563414966416,0.1235021136329928,8,10,10,chr_q
3,0.5,6,0.4,ml_3plus6,254,0.325703767534427,0.1248673490229737,20.08364185114533,0.9123545603900429,-0.5125394081258634,0.32749744741885434,0.31297313908664426,0.13334357067211555,8,10,10,chr_q
3,0.6,6,0.4,ml_3plus6,254,0.33994899810812096,0.1248673490229737,21.508164908514726,0.9325258362674528,-0.5125394081258635,0.34198482140711073,0.32823786122405174,0.13395569964104515,8,10,10,chr_q
3,0.45,1,0.4,ml_3plus6,254,0.20375707464944903,0.1248673490229737,7.888972562647534,0.6506247247687862,-0.8022913007346716,0.22890161255336533,0.23140739835584512,-0.15461960108932626,7,8,10,hold
3,0.45,3,0.4,ml_3plus6,254,0.27879373853627976,0.1248673490229737,15.392638951330607,0.7911695925986331,-0.5983341292146309,0.2838052017435314,0.27381290420113225,0.003547921753587424,6,10,10,hold
3,0.45,9,0.4,ml_3plus6,254,0.27510248990285224,0.1248673490229737,15.023514087987856,0.822474262467989,-0.7438466362571585,0.309980695497431,0.3327162971730686,0.03477001385295431,8,10,10,hold
3,0.45,12,0.4,ml_3plus6,254,0.2712329408023857,0.1248673490229737,14.6365591779412,0.799020217928138,-0.640333219734858,0.3436817555920661,0.3176358405431805,0.13976667145352129,9,10,10,hold
5,0.0,6,0.4,ml_3plus6,254,0.23660967491824558,0.1248673490229737,11.17423258952719,0.7907009212099734,-0.5186977949011061,0.235299991995542,0.2244763193915753,0.08052869635289173,8,10,10,no_chronos_K
7,0.0,6,0.4,ml_3plus6,254,0.2149465054264319,0.1248673490229737,9.007915640345821,0.7855121030272594,-0.4658671011532106,0.2126994981925308,0.20949751437910136,0.08445707403527924,8,10,10,no_chronos_K
10,0.0,6,0.4,ml_3plus6,254,0.18829522560704914,0.1248673490229737,6.342787658407545,0.7707426192624048,-0.44119778534792536,0.20031226920764506,0.2079155620794686,0.07595942348804252,8,10,10,no_chronos_K
15,0.0,6,0.4,ml_3plus6,254,0.18124128681329,0.1248673490229737,5.63739377903163,0.8336659973032534,-0.33512906489071265,0.1862887330170727,0.18641699446714854,0.04867913144498104,7,10,10,no_chronos_K
3,0.45,6,0.34,ml_3plus6,254,0.35450979589556475,0.1248673490229737,22.964244687259104,0.9344950252421355,-0.5336929978179373,0.3382724051298271,0.3112753617620413,0.20315340171522123,9,10,10,cap
3,0.45,6,0.5,ml_3plus6,254,0.3089037084786046,0.1248673490229737,18.40363594556309,0.8888646448077437,-0.50553747474746,0.3182323909378016,0.3037953886313072,0.08471852668152247,8,10,10,cap
3,0.45,6,1.0,ml_3plus6,254,0.304108057926491,0.1248673490229737,17.92407089035173,0.8806474757898702,-0.5055374747474599,0.31580932383365823,0.3037953886313072,0.06605763451784541,8,10,10,cap
