start,trough,end,depth_pct
2011-04-29,2012-03-30,2013-06-28,-52.498944370001595
2007-11-30,2008-05-30,2008-07-31,-42.56621281585505
2019-11-29,2020-02-28,2020-10-30,-41.37547524176857
2021-05-31,2022-08-31,2023-02-28,-34.546761488587464
2008-07-31,2009-03-31,2009-04-30,-33.22069767956792
2018-07-31,2019-04-30,2019-10-31,-30.38223153192402
2023-06-30,2023-09-29,2023-11-30,-22.425582072646797
2024-10-31,2025-03-31,2025-05-30,-19.936614110578944
2010-03-31,2010-07-30,2010-10-29,-19.384814893526393
2009-08-31,2009-09-30,2009-12-31,-17.35355339525986
