param,value,cagr_full,wf_mean_cagr,wf_min_cagr,wf_mean_edge_pp,wf_n_beats,max_dd
k_bull,1,0.3949056409941827,0.3979847870314205,0.10829825803894866,24.992458969198598,9,-0.5244694226594753
k_bull,2 (winner),0.4147905119871267,0.46078957203929116,0.2405666232279975,31.272937469985642,10,-0.46382559899278303
k_bull,3 (= v6/v3),0.3813972304007436,0.4240895680107781,0.2081844566274158,27.60293706713435,9,-0.4638255989927828
k_normal,2,0.3917370304361969,0.43825559752934246,0.19944392884745854,29.01954001899079,10,-0.6385625898027176
k_normal,3 (winner),0.4147905119871267,0.46078957203929116,0.2405666232279975,31.272937469985642,10,-0.46382559899278303
k_normal,4,0.3667016827717511,0.4010771494501267,0.18507159340485746,25.3016952110692,10,-0.5485560217302052
weighting,ew,0.42061375792035416,0.44479584412042394,0.14492104439496223,29.673564678098945,9,-0.49828619285029274
weighting,invvol (winner),0.4147905119871267,0.46078957203929116,0.2405666232279975,31.272937469985642,10,-0.46382559899278303
hold_months,3m,0.3125649753906923,0.30158431489457166,0.14258494180678993,15.352411755513705,8,-0.5142326547025563
hold_months,6m (winner),0.4147905119871267,0.46078957203929116,0.2405666232279975,31.272937469985642,10,-0.46382559899278303
hold_months,12m,0.3751977525806882,0.44073375007249427,0.14223625179552712,29.267355273305963,10,-0.5567844544230358
cost_bps,5bp,0.4147905119871267,0.46078957203929116,0.2405666232279975,31.272937469985642,10,-0.46382559899278303
cost_bps,10bp (winner),0.4147905119871267,0.46078957203929116,0.2405666232279975,31.272937469985642,10,-0.46382559899278303
cost_bps,20bp,0.4147905119871267,0.46078957203929116,0.2405666232279975,31.272937469985642,10,-0.46382559899278303
