date,regime,action,ret_m,equity,picks,n_picks,months_held,year
2003-01-31,normal,init,0.0,1.0,,0,0,2003
2003-02-28,normal,init,0.0,1.0,,0,0,2003
2003-03-31,normal,init,0.0,1.0,,0,0,2003
2003-04-30,recovery,init,0.0,1.0,,0,0,2003
2003-05-30,recovery,init,0.0,1.0,,0,0,2003
2003-06-30,recovery,init,0.0,1.0,,0,0,2003
2003-07-31,recovery,init,0.0,1.0,,0,0,2003
2003-08-29,recovery,init,0.0,1.0,,0,0,2003
2003-09-30,recovery,init,-0.001,0.999,"CSX,NVDA,AAPL",3,1,2003
2003-10-31,recovery,hold_min,0.09988946960032925,1.0987895801307288,"CSX,NVDA,AAPL",3,2,2003
2003-11-28,recovery,hold_min,0.06085596303122963,1.1656574781982647,"CSX,NVDA,AAPL",3,3,2003
2003-12-31,recovery,tactical_reb,0.05742576599184116,1.2325962517679179,"MO,OXY,ASH",3,1,2003
2004-01-30,bull,hold_min,0.0384720115918733,1.2800167090540329,"MO,OXY,ASH",3,2,2004
2004-02-27,bull,hold_min,0.027934650709641698,1.3157735287239622,"MO,OXY,ASH",3,3,2004
2004-03-31,bull,hold,-0.009660766191639653,1.3030621483018114,"MO,OXY,ASH",3,4,2004
2004-04-30,bull,tactical_reb,0.02312768079061278,1.333198953718066,"NVDA,AAPL,TLAB",3,1,2004
2004-05-31,bull,hold_min,0.02773660238851767,1.3701773630021319,"NVDA,AAPL,TLAB",3,2,2004
2004-06-30,bull,hold_min,0.07875102178739118,1.478080230368503,"NVDA,AAPL,TLAB",3,3,2004
2004-07-30,normal,hold,-0.04401641047122989,1.413020444239193,"NVDA,AAPL,TLAB",3,4,2004
2004-08-31,normal,hold,-0.00461496503437064,1.4064994042961783,"NVDA,AAPL,TLAB",3,5,2004
2004-09-30,normal,hold,0.08776374672689531,1.529939061786357,"NVDA,AAPL,TLAB",3,6,2004
2004-10-29,normal,tactical_reb,0.08742100541777997,1.6636878727956554,"AAPL,SRE,CVX",3,1,2004
2004-11-30,normal,hold_min,0.1185141889556863,1.8608584917154434,"AAPL,SRE,CVX",3,2,2004
2004-12-31,normal,hold_min,-0.023796749423431636,1.816576108475626,"AAPL,SRE,CVX",3,3,2004
2005-01-31,normal,tactical_reb,0.06255580903955349,1.9302134966232425,"CSX,AAPL,WEN",3,1,2005
2005-02-28,normal,hold_min,0.05057996190667501,2.027843621754196,"CSX,AAPL,WEN",3,2,2005
2005-03-31,normal,hold_min,-0.044772150056887915,1.937052702829114,"CSX,AAPL,WEN",3,3,2005
2005-04-29,normal,tactical_reb,-0.052865735218167675,1.834648987537714,"CSX,NEE,AAPL",3,1,2005
2005-05-31,normal,hold_min,0.03429599646779736,1.8975701027339555,"CSX,NEE,AAPL",3,2,2005
2005-06-30,normal,hold_min,0.013071634466319378,1.9223744454911098,"CSX,NEE,AAPL",3,3,2005
2005-07-29,bull,tactical_reb,0.06781536685432718,2.052740973743473,"CSX,CMS,SLM",3,1,2005
