date,ret_m,equity,regime,cash,picks,weights,n_picks
2003-09-30,0.0,1.0,recovery,False,"CSX,NVDA,GLW","0.333,0.333,0.333",3
2003-10-31,0.12018129745993958,1.1201812974599397,recovery,False,"CSX,NVDA,GLW","0.333,0.333,0.333",3
2003-11-28,0.10456504149091995,1.2373131013061909,recovery,False,"CSX,NVDA,GLW","0.333,0.333,0.333",3
2003-12-31,0.02086911748830881,1.2631347337871737,recovery,False,"CSX,NVDA,GLW","0.333,0.333,0.333",3
2004-01-30,0.025306506726048658,1.2951002614236646,recovery,False,"CSX,NVDA,GLW","0.333,0.333,0.333",3
2004-02-27,-0.008794512082370216,1.2837104865266933,recovery,False,"CSX,NVDA,GLW","0.333,0.333,0.333",3
2004-03-31,0.011674659519820343,1.2986973693789152,recovery,False,"AAPL,MO,CFC","0.350,0.350,0.300",3
2004-04-30,-0.03575478355287737,1.252262726036081,recovery,False,"AAPL,MO,CFC","0.350,0.350,0.300",3
2004-05-31,-0.03254350683712846,1.2115097054494446,recovery,False,"AAPL,MO,CFC","0.350,0.350,0.300",3
2004-06-30,0.0453691207811998,1.2664748356035762,recovery,False,"AAPL,MO,CFC","0.350,0.350,0.300",3
2004-07-30,-0.03075934856238173,1.2275188946897608,normal,False,"AAPL,MO,CFC","0.350,0.350,0.300",3
2004-08-31,0.019558645050515272,1.2515275010437985,normal,False,"AAPL,MO,CFC","0.350,0.350,0.300",3
2004-09-30,0.056775460601612246,1.3225835513711448,recovery,False,"AAPL,VLO,ATI","0.350,0.350,0.300",3
2004-10-29,0.12462189819660846,1.4874064240666285,recovery,False,"AAPL,VLO,ATI","0.350,0.350,0.300",3
2004-11-30,0.22230736345016902,1.8180678245797248,recovery,False,"AAPL,VLO,ATI","0.350,0.350,0.300",3
2004-12-31,-0.02793154770877835,1.7672863763996813,recovery,False,"AAPL,VLO,ATI","0.350,0.350,0.300",3
2005-01-31,0.15130347098617167,2.034682939375527,recovery,False,"AAPL,VLO,ATI","0.350,0.350,0.300",3
2005-02-28,0.1958221006952899,2.4331188268129096,recovery,False,"AAPL,VLO,ATI","0.350,0.350,0.300",3
2005-03-31,-0.02120107334285594,2.3815340961137657,recovery,False,"CSX,WEN,AAPL","0.350,0.300,0.350",3
2005-04-29,-0.06728793411592124,2.2212855867596426,recovery,False,"CSX,WEN,AAPL","0.350,0.300,0.350",3
2005-05-31,0.08841201861747738,2.41767392941097,recovery,False,"CSX,WEN,AAPL","0.350,0.300,0.350",3
2005-06-30,-0.006963963211781329,2.4008373371084692,recovery,False,"CSX,WEN,AAPL","0.350,0.300,0.350",3
2005-07-29,0.10114455701848878,2.643668966043754,recovery,False,"CSX,WEN,AAPL","0.350,0.300,0.350",3
2005-08-31,0.00877582497314549,2.6668693421766902,recovery,False,"CSX,WEN,AAPL","0.350,0.300,0.350",3
2005-09-30,0.0773565299123818,2.8731691002171953,recovery,False,"CL,PEG,VLO","0.350,0.350,0.300",3
