date,ret_m,equity,regime,cash,picks,weights,n_picks
2003-09-30,0.0,1.0,recovery,False,"CSX,NVDA,GLW","0.333,0.333,0.333",3
2003-10-31,0.12018129745993958,1.1201812974599397,recovery,False,"CSX,NVDA,GLW","0.333,0.333,0.333",3
2003-11-28,0.10456504149091995,1.2373131013061909,recovery,False,"CSX,NVDA,GLW","0.333,0.333,0.333",3
2003-12-31,0.02086911748830881,1.2631347337871737,recovery,False,"CSX,NVDA,GLW","0.333,0.333,0.333",3
2004-01-30,0.025306506726048658,1.2951002614236646,recovery,False,"CSX,NVDA,GLW","0.333,0.333,0.333",3
2004-02-27,-0.008794512082370216,1.2837104865266933,recovery,False,"CSX,NVDA,GLW","0.333,0.333,0.333",3
2004-03-31,0.011674659519820343,1.2986973693789152,recovery,False,"AAPL,MO,LPX","0.400,0.294,0.306",3
2004-04-30,-0.03978331541237321,1.2470308823076945,recovery,False,"AAPL,MO,LPX","0.400,0.294,0.306",3
2004-05-31,-0.009341096618384897,1.2353822463499486,recovery,False,"AAPL,MO,LPX","0.400,0.294,0.306",3
2004-06-30,0.08827607229218097,1.3444369388372135,recovery,False,"AAPL,MO,LPX","0.400,0.294,0.306",3
2004-07-30,-0.016484283802166756,1.3222748587833046,normal,False,"AAPL,MO,LPX","0.400,0.294,0.306",3
2004-08-31,0.04916698594474857,1.3872871281801977,normal,False,"AAPL,MO,LPX","0.400,0.294,0.306",3
2004-09-30,0.05657589473931113,1.4657741387173218,recovery,False,"AAPL,VLO,ADSK","0.328,0.345,0.328",3
2004-10-29,0.16776969957127844,1.7116866256092764,recovery,False,"AAPL,VLO,ADSK","0.328,0.345,0.328",3
2004-11-30,0.2015520751804168,2.056680617059391,recovery,False,"AAPL,VLO,ADSK","0.328,0.345,0.328",3
2004-12-31,0.029484832043435924,2.1173214996203775,recovery,False,"AAPL,VLO,ADSK","0.328,0.345,0.328",3
2005-01-31,0.03989595243311865,2.2017940574548516,recovery,False,"AAPL,VLO,ADSK","0.328,0.345,0.328",3
2005-02-28,0.1864725345741106,2.6123681759586725,recovery,False,"AAPL,VLO,ADSK","0.328,0.345,0.328",3
2005-03-31,-0.013853304932202354,2.5761782430219355,recovery,False,"CSX,WEN,AAPL","0.400,0.369,0.231",3
2005-04-29,-0.054811846587235126,2.434973156384044,recovery,False,"CSX,WEN,AAPL","0.400,0.369,0.231",3
2005-05-31,0.08709449706649011,2.6470459188097166,recovery,False,"CSX,WEN,AAPL","0.400,0.369,0.231",3
2005-06-30,0.005425158699806205,2.6614065630049337,recovery,False,"CSX,WEN,AAPL","0.400,0.369,0.231",3
2005-07-29,0.09071267133939862,2.9028298618553188,recovery,False,"CSX,WEN,AAPL","0.400,0.369,0.231",3
2005-08-31,-0.007999982498397975,2.879607273764649,recovery,False,"CSX,WEN,AAPL","0.400,0.369,0.231",3
2005-09-30,0.06503751683134658,3.066889780299786,recovery,False,"CL,PEG,HUM","0.374,0.400,0.226",3
