entry_idx,entry_date,regime,picks,weights,initial_capital,nav,status,exit_date,exit_nav,return_pct
0,2003-09-30,recovery,"CSX,NVDA,AAPL,WMB","0.250,0.250,0.250,0.250",1.0,1.2532856821843583,exited,2004-03-31,1.2532856821843583,25.328568218435834
1,2003-10-31,recovery,"MO,XEL,NKE,HAS","0.250,0.250,0.250,0.250",1.0,1.0673674029559466,exited,2004-04-30,1.0673674029559466,6.7367402955946565
2,2003-11-28,recovery,"XEL,HAS,WEN,EIX","0.250,0.250,0.250,0.250",1.0,1.0296366270374275,exited,2004-05-31,1.0296366270374275,2.963662703742753
3,2003-12-31,recovery,"MO,OXY,ASH,MAS","0.250,0.250,0.250,0.250",1.0,1.1156698228300483,exited,2004-06-30,1.1156698228300483,11.566982283004833
4,2004-01-30,recovery,"CSX,CMS,WOR,CNP","0.250,0.250,0.250,0.250",1.0,1.1063862305349788,exited,2004-07-30,1.1063862305349788,10.638623053497875
5,2004-02-27,recovery,"CMS,NVDA,MO,CNP","0.265,0.172,0.343,0.220",1.0,0.9056056737697243,exited,2004-08-31,0.9056056737697243,-9.439432623027566
6,2004-03-31,recovery,"AAPL,MO,NVDA,BEN","0.287,0.208,0.105,0.400",2.2532856821843583,2.376005387560736,exited,2004-09-30,2.376005387560736,5.4462559428954505
7,2004-04-30,recovery,"NVDA,AAPL,TLAB,MU","0.124,0.350,0.277,0.249",2.067367402955947,2.6333678265767286,exited,2004-10-29,2.6333678265767286,27.377834380647958
8,2004-05-31,recovery,"OXY,AAPL,COP,CNP","0.317,0.173,0.326,0.184",2.0296366270374273,2.9437609320828444,exited,2004-11-30,2.9437609320828444,45.03881595690973
9,2004-06-30,recovery,"AAPL,TJX,COP,NVDA","0.232,0.307,0.342,0.119",2.115669822830048,2.7695292127616984,exited,2004-12-31,2.7695292127616984,30.905549763762675
10,2004-07-30,normal,"AAPL,GLW,NUE,CNP","0.226,0.175,0.210,0.389",2.1063862305349788,2.860022565515207,exited,2005-01-31,2.860022565515207,35.77863945629858
11,2004-08-31,normal,"AAPL,SBUX,MO,CNP","0.156,0.384,0.186,0.274",1.9056056737697245,2.717674362833852,exited,2005-02-28,2.717674362833852,42.614728757480535
12,2004-09-30,recovery,"AAPL,VLO,WOR,SBUX","0.228,0.240,0.157,0.374",3.376005387560736,5.062669819428922,exited,2005-03-31,5.062669819428922,49.960359603775714
13,2004-10-29,recovery,"AAPL,SRE,CVX,COP","0.157,0.374,0.256,0.213",3.6333678265767286,4.33207518372743,exited,2005-04-29,4.33207518372743,19.230295155913435
14,2004-11-30,recovery,"NEE,FE,SRE,VFC","0.298,0.280,0.212,0.210",3.9437609320828444,4.331144020995987,exited,2005-05-31,4.331144020995987,9.822681840619364
15,2004-12-31,recovery,"VFC,ASH,EXC,CAG","0.293,0.198,0.273,0.235",3.7695292127616984,4.007706848548501,exited,2005-06-30,4.007706848548501,6.3184982087538755
16,2005-01-31,recovery,"CSX,AAPL,WEN,RF","0.270,0.130,0.253,0.347",3.860022565515207,4.280414398665435,exited,2005-07-29,4.280414398665435,10.89091646525433
17,2005-02-28,recovery,"NVDA,CSX,EXC,TJX","0.066,0.312,0.368,0.254",3.717674362833852,3.9595050948995927,exited,2005-08-31,3.9595050948995927,6.5048928029673325
18,2005-03-31,recovery,"CSX,WEN,AAPL,MKC","0.355,0.188,0.118,0.339",6.062669819428922,6.644346051381334,exited,2005-09-30,6.644346051381334,9.594390743304636
19,2005-04-29,recovery,"CSX,NEE,AAPL,MAT","0.335,0.396,0.089,0.180",5.33207518372743,5.8491961151388265,exited,2005-10-31,5.8491961151388265,9.698305323780133
20,2005-05-31,recovery,"EXC,PEG,ADM,GIS","0.400,0.217,0.126,0.257",5.331144020995987,5.865112479635573,exited,2005-11-30,5.865112479635573,10.016020136327652
21,2005-06-30,recovery,"AAPL,CSX,CMS,CNP","0.092,0.332,0.258,0.318",5.007706848548501,5.691731137825038,exited,2005-12-30,5.691731137825038,13.659431551485568
22,2005-07-29,recovery,"CSX,CMS,SLM,STZ","0.324,0.219,0.191,0.265",5.280414398665435,5.546129576931504,exited,2006-01-31,5.546129576931504,5.032089495347658
23,2005-08-31,recovery,"CSX,CMS,PPL,ED","0.238,0.148,0.269,0.345",4.959505094899592,5.206353901740239,exited,2006-02-28,5.206353901740239,4.977287090490301
24,2005-09-30,recovery,"CL,PEG,EXC,CMS","0.207,0.224,0.330,0.239",7.644346051381334,7.429218712365369,exited,2006-03-31,7.429218712365369,-2.8142019941273078
25,2005-10-31,recovery,"NEE,PEG,UNM,ITT","0.338,0.160,0.126,0.376",6.8491961151388265,7.002385967977789,exited,2006-04-28,7.002385967977789,2.236610695091157
26,2005-11-30,recovery,"CSX,PEG,ADM,D","0.399,0.225,0.138,0.239",6.865112479635573,8.642412736217064,exited,2006-05-31,8.642412736217064,25.888873078971564
