date,regime,cum_deposits,active_tranches,cash_pool,total_nav,current_picks,current_weights
2003-09-30,recovery,1.0,1,0.0,0.999,"CSX,NVDA,GLW","0.333,0.333,0.333"
2003-10-31,recovery,2.0,2,0.0,2.1180611161624796,"MO,XEL,AES","0.333,0.333,0.333"
2003-11-28,recovery,3.0,3,0.0,3.2831850172534236,"XEL,HAS,WMB","0.333,0.333,0.333"
2003-12-31,recovery,4.0,4,0.0,4.383771022386434,"MO,OXY,CFC","0.333,0.333,0.333"
2004-01-30,recovery,5.0,5,0.0,5.703138335490897,"CSX,CMS,ATI","0.333,0.333,0.333"
2004-02-27,recovery,6.0,6,0.0,6.905710478793455,"CMS,NVDA,CFC","0.400,0.328,0.272"
2004-03-31,recovery,7.0,6,0.0,7.8363833741785225,"AAPL,MO,CFC","0.400,0.400,0.200"
2004-04-30,recovery,8.0,6,0.0,8.462215940176362,"NVDA,AAPL,LPX","0.200,0.400,0.400"
2004-05-31,recovery,9.0,6,0.0,9.612182204918039,"OXY,AAPL,CFC","0.400,0.400,0.200"
2004-06-30,recovery,10.0,6,0.0,11.25171159247787,"AAPL,TJX,BBBY","0.400,0.400,0.200"
2004-07-30,normal,11.0,6,0.0,11.9673183835827,"AAPL,GLW,BBBY","0.400,0.395,0.205"
2004-08-31,normal,12.0,6,0.0,12.934586829461308,"AAPL,SBUX,ATI","0.400,0.400,0.200"
2004-09-30,recovery,13.0,6,0.0,15.135289734895142,"AAPL,VLO,ATI","0.400,0.400,0.200"
2004-10-29,recovery,14.0,6,0.0,19.162206880026496,"AAPL,SRE,BBBY","0.400,0.400,0.200"
2004-11-30,recovery,15.0,6,0.0,24.188643222361428,"NEE,FE,BBBY","0.400,0.400,0.200"
2004-12-31,recovery,16.0,6,0.0,24.71678995062368,"VFC,ASH,BBBY","0.400,0.400,0.200"
2005-01-31,recovery,17.0,6,0.0,26.519217492734317,"CSX,AAPL,BBBY","0.400,0.388,0.212"
2005-02-28,recovery,18.0,6,0.0,30.374129597366625,"NVDA,CSX,AAPL","0.234,0.400,0.366"
2005-03-31,recovery,19.0,6,0.0,30.093496561230342,"CSX,WEN,AAPL","0.400,0.369,0.231"
2005-04-29,recovery,20.0,6,0.0,29.2721269139342,"CSX,NEE,AAPL","0.400,0.400,0.200"
2005-05-31,recovery,21.0,6,0.0,31.8990903775738,"EXC,PEG,AAPL","0.400,0.400,0.200"
2005-06-30,recovery,22.0,6,0.0,33.27626257529259,"AAPL,CSX,HUM","0.250,0.400,0.350"
2005-07-29,recovery,23.0,6,0.0,37.01952647822353,"CSX,CMS,NVDA","0.400,0.400,0.200"
2005-08-31,recovery,24.0,6,0.0,38.95513797100945,"CSX,CMS,VLO","0.400,0.400,0.200"
2005-09-30,recovery,25.0,6,0.0,42.223679607647036,"CL,PEG,VLO","0.399,0.400,0.201"
2005-10-31,recovery,26.0,6,0.0,42.16228358659133,"NEE,PEG,VLO","0.400,0.400,0.200"
2005-11-30,recovery,27.0,6,0.0,43.90417505641988,"CSX,PEG,VLO","0.400,0.400,0.200"
2005-12-30,recovery,28.0,6,0.0,46.921938391391336,"CSX,NEE,VLO","0.400,0.400,0.200"
2006-01-31,recovery,29.0,6,0.0,51.39872206010381,"NVDA,CSX,EOG","0.240,0.400,0.360"
2006-02-28,recovery,30.0,6,0.0,50.97737456474607,"WMB,NVDA,AMD","0.400,0.303,0.297"
2006-03-31,recovery,31.0,6,0.0,53.55945325290065,"NVDA,PEG,VIAV","0.353,0.400,0.247"
2006-04-28,recovery,32.0,6,0.0,56.11754001052073,"NVDA,CSX,VIAV","0.382,0.400,0.218"
2006-05-31,recovery,33.0,6,0.0,53.28194049739365,"NVDA,CSX,ATI","0.373,0.400,0.227"
2006-06-30,recovery,34.0,6,0.0,54.179480464794814,"NVDA,CSX,ATI","0.345,0.400,0.255"
2006-07-31,recovery,35.0,6,0.0,52.66410389881629,"AMZN,CSX,ATI","0.311,0.400,0.289"
2006-08-31,recovery,36.0,6,0.0,58.875319969896154,"CSX,MO,ATI","0.400,0.400,0.200"
2006-09-29,recovery,37.0,6,0.0,61.66724437840318,"NVDA,HPQ,ATI","0.315,0.400,0.285"
2006-10-31,recovery,38.0,6,0.0,71.69483251683017,"NVDA,HPQ,ATI","0.314,0.400,0.286"
2006-11-30,recovery,39.0,6,0.0,77.12606556572862,"NVDA,T,ATI","0.315,0.400,0.285"
2006-12-29,recovery,40.0,6,0.0,78.62756437111699,"CSX,T,ATI","0.400,0.400,0.200"
2007-01-31,recovery,41.0,6,0.0,82.78013327777013,"NVDA,CFC,ATI","0.337,0.359,0.304"
2007-02-28,recovery,42.0,6,0.0,82.64226861257318,"NVDA,CMCSA,ATI","0.267,0.400,0.333"
2007-03-30,recovery,43.0,6,0.0,85.13957435993953,"NVDA,T,MAT","0.200,0.400,0.400"
2007-04-30,recovery,44.0,6,0.0,89.99122490326658,"NVDA,AMZN,MAT","0.281,0.319,0.400"
2007-05-31,recovery,45.0,6,0.0,90.37893419580539,"AMZN,MAT,HAS","0.200,0.400,0.400"
2007-06-29,recovery,46.0,6,0.0,91.21826214178758,"AMZN,NVDA,AAPL","0.238,0.362,0.400"
2007-07-31,recovery,47.0,6,0.0,94.774805811466,"NVDA,AMZN,AAPL","0.361,0.239,0.400"
2007-08-31,recovery,48.0,6,0.0,99.0395024001069,"NVDA,AMZN,CMI","0.329,0.271,0.400"
2007-09-28,recovery,49.0,6,0.0,109.07967792348221,"NVDA,AMZN,NOV","0.360,0.240,0.400"
2007-10-31,recovery,50.0,6,0.0,111.03757809057898,"AMZN,JCI,BBBY","0.333,0.299,0.369"
2007-11-30,recovery,51.0,6,0.0,105.16375852319952,"NVDA,AMZN,NOV","0.371,0.229,0.400"
2007-12-31,normal,52.0,6,0.0,111.28054166509163,"AMZN,NVDA,NOV","0.240,0.360,0.400"
2008-01-31,normal,53.0,6,0.0,88.50568046928151,"MBI,MTG,AMZN","0.345,0.313,0.342"
2008-02-29,normal,54.0,6,0.0,81.92906874490558,"MBI,MTG,CNX","0.317,0.283,0.400"
2008-03-31,normal,55.0,6,0.0,80.24323192458927,"MBI,MTG,CNX","0.318,0.282,0.400"
2008-04-30,normal,56.0,6,0.0,89.57259824638763,"MBI,FHN,RRC","0.257,0.343,0.400"
2008-05-30,normal,57.0,6,0.0,94.18623768328005,"MBI,MTG,CNX","0.352,0.248,0.400"
2008-06-30,normal,58.0,6,0.0,82.57847460430465,"MTG,MBI,CNX","0.260,0.340,0.400"
