split,from,to,n_m,cagr_pct,spy_cagr_pct,edge_pp,sharpe,max_dd_pct
A1,2011-01-01,2018-12-31,96,26.974599808178468,14.080900583561906,12.893699224616562,1.1196784187600497,-37.36418175420327
A2,2015-01-01,2021-12-31,84,41.78653042740912,14.712482626251333,27.074047801157786,1.0208458664272255,-37.364181754203294
A3,2018-01-01,2024-12-31,84,33.76940806499884,14.751627095452037,19.017780969546806,0.8279746507232053,-37.364181754203294
R1_GFC,2008-01-01,2010-12-31,36,106.09166145484568,0.047259599882343295,106.04440185496333,1.2884405692568164,-39.68204881178004
R2,2011-01-01,2013-12-31,36,32.14806365926033,15.626222022427317,16.521841636833013,1.3510275882569078,-19.055178552490663
R3,2014-01-01,2016-12-31,36,33.86429942446496,16.016169805583935,17.848129618881025,1.508920644612713,-8.705198168745467
R4,2017-01-01,2019-12-31,36,20.917687748306847,13.04619006076968,7.871497687537166,0.8034466698267463,-37.36418175420329
R5_COVID,2020-01-01,2022-12-31,36,53.70235423262779,5.631006725044485,48.071347507583305,0.9480194660431452,-32.276626836141475
R6_AI,2023-01-01,2024-12-31,24,35.69198897977228,35.95093726573664,-0.2589482859643555,1.2733022174638207,-12.862038307751044
STRICT,2021-01-01,2024-12-31,48,39.8852819178243,18.197401554724934,21.687880363099367,1.1122100760703304,-32.276626836141475
