start,trough,end,depth_pct
2021-12-31,2022-05-31,2022-12-30,-23.398033809994683
2007-10-31,2008-08-29,2009-03-31,-22.158388624359297
2018-09-28,2018-12-31,2019-10-31,-21.60629371971574
2020-08-31,2020-09-30,2020-10-30,-18.24586135270872
2011-06-30,2012-03-30,2012-11-30,-14.537207093303556
2009-05-29,2009-05-29,2009-06-30,-14.366554252616734
2025-01-31,2025-02-28,2025-06-30,-14.243140148390996
2024-01-31,2024-03-28,2024-06-28,-12.345324453511342
2010-04-30,2010-07-30,2010-11-30,-11.175058342990228
2004-03-31,2004-06-30,2004-10-29,-10.803479303286554
