name,cagr_full,spy_cagr_full,edge_full_pp,sharpe,max_dd,n_cash,wf_mean_cagr,wf_median_cagr,wf_min_cagr,wf_max_cagr,wf_mean_sharpe,wf_min_sharpe,wf_mean_dd,wf_min_dd,wf_mean_edge_pp,wf_n_pos,wf_n_beats_spy,wf_n_splits,spec_name,spec_strategy,spec_weights,spec_k_normal,spec_k_recovery,spec_k_bull,spec_weighting,spec_regime_gate,spec_hold_months,spec_cost_bps,spec_cash_yield_yr,spec_pullback_filter,spec_min_pick_mom,spec_quality_blend,spec_spy_dd_scale,spec_crash_persist,spec_monthly_exposure
lgb_k1_ew_h3,0.19477548889985474,0.11879891000283682,7.597657889701792,0.5528793475199848,-0.6277140940785569,5,0.168057396244406,0.12876607548589047,-0.12812387463656716,0.8843642676684322,0.44597153553548774,-0.35448354469965343,-0.4369218738029317,-0.6277140940785569,1.9997198904971374,8,5,10,lgb_k1_ew_h3,lgb,,1,1,1,ew,tight,3,10.0,0.03,0.0,0.0,0.0,0.0,1,False
lgb_k1_ew_h6,0.06448691863639033,0.11879891000283682,-5.431199136644649,0.360636220765663,-0.9025663031362857,4,0.03252652472764674,0.09997571165168895,-0.35788928426767375,0.25515485501754287,0.26622938851834377,-0.7024496765549847,-0.5514026470485759,-0.7805630714476076,-11.553367261178787,7,4,10,lgb_k1_ew_h6,lgb,,1,1,1,ew,tight,6,10.0,0.03,0.0,0.0,0.0,0.0,1,False
lgb_k1_ew_h12,0.14048758829687746,0.11879891000283682,2.168867829404064,0.5074273547833277,-0.6802158888010531,4,0.16647231730056516,0.14604654976450915,-0.0668249885992438,0.44231050355827417,0.556064647711695,0.1112855968498608,-0.5344987426293779,-0.6542055825920563,1.8412119961130542,8,7,10,lgb_k1_ew_h12,lgb,,1,1,1,ew,tight,12,10.0,0.03,0.0,0.0,0.0,0.0,1,False
lgb_k1_invvol_h3,0.19477548889985474,0.11879891000283682,7.597657889701792,0.5528793475199848,-0.6277140940785569,5,0.168057396244406,0.12876607548589047,-0.12812387463656716,0.8843642676684322,0.44597153553548774,-0.35448354469965343,-0.4369218738029317,-0.6277140940785569,1.9997198904971374,8,5,10,lgb_k1_invvol_h3,lgb,,1,1,1,invvol,tight,3,10.0,0.03,0.0,0.0,0.0,0.0,1,False
lgb_k1_invvol_h6,0.06448691863639033,0.11879891000283682,-5.431199136644649,0.360636220765663,-0.9025663031362857,4,0.03252652472764674,0.09997571165168895,-0.35788928426767375,0.25515485501754287,0.26622938851834377,-0.7024496765549847,-0.5514026470485759,-0.7805630714476076,-11.553367261178787,7,4,10,lgb_k1_invvol_h6,lgb,,1,1,1,invvol,tight,6,10.0,0.03,0.0,0.0,0.0,0.0,1,False
lgb_k1_invvol_h12,0.14048758829687746,0.11879891000283682,2.168867829404064,0.5074273547833277,-0.6802158888010531,4,0.16647231730056516,0.14604654976450915,-0.0668249885992438,0.44231050355827417,0.556064647711695,0.1112855968498608,-0.5344987426293779,-0.6542055825920563,1.8412119961130542,8,7,10,lgb_k1_invvol_h12,lgb,,1,1,1,invvol,tight,12,10.0,0.03,0.0,0.0,0.0,0.0,1,False
lgb_k2_ew_h3,0.2513492773721018,0.11879891000283682,13.255036736926495,0.7351353844832439,-0.5006720252146416,5,0.22651740361810324,0.21404728881433865,-0.14069780213910976,0.7190152439405801,0.6095772011960905,-0.5988821755966247,-0.35327558813154136,-0.5006720252146416,7.845720627866863,9,6,10,lgb_k2_ew_h3,lgb,,2,2,2,ew,tight,3,10.0,0.03,0.0,0.0,0.0,0.0,1,False
lgb_k2_ew_h6,0.1623185861454235,0.11879891000283682,4.351967614258667,0.583365182989906,-0.5604646303883924,4,0.09085100381084513,0.07837007198147083,-0.07137201436503571,0.35662849263831387,0.438692969181262,0.04777166032169345,-0.42572659912973887,-0.5604646303883926,-5.720919352858947,6,2,10,lgb_k2_ew_h6,lgb,,2,2,2,ew,tight,6,10.0,0.03,0.0,0.0,0.0,0.0,1,False
lgb_k2_ew_h12,0.17351130620776734,0.11879891000283682,5.471239620493051,0.6217268216933717,-0.566622291606814,4,0.1591892425622628,0.1660765212565921,0.029478066437161,0.33817042075816794,0.6470620486691369,0.3232508311852313,-0.4147240379781502,-0.566622291606814,1.112904522282818,10,4,10,lgb_k2_ew_h12,lgb,,2,2,2,ew,tight,12,10.0,0.03,0.0,0.0,0.0,0.0,1,False
lgb_k2_invvol_h3,0.24618509473817607,0.11879891000283682,12.738618473533926,0.7751203137958012,-0.4777427745771422,5,0.22551702217630676,0.21294743015355388,-0.106404982153261,0.579413653935912,0.6742192528831367,-0.46684589704685087,-0.32975458585965994,-0.47774277457714226,7.745682483687213,9,6,10,lgb_k2_invvol_h3,lgb,,2,2,2,invvol,tight,3,10.0,0.03,0.0,0.0,0.0,0.0,1,False
lgb_k2_invvol_h6,0.14974718049615876,0.11879891000283682,3.094827049332194,0.5733879173572027,-0.5397110751690587,4,0.08147159145122701,0.07143279358745735,-0.08412292973513569,0.33693223845746423,0.4324698270836258,-0.013920479153319261,-0.40057097486563203,-0.5397110751690588,-6.65886058882076,6,2,10,lgb_k2_invvol_h6,lgb,,2,2,2,invvol,tight,6,10.0,0.03,0.0,0.0,0.0,0.0,1,False
