date,equity,ret_m,regime,n_picks,gross,picks
2003-09-30,1.0749627524935501,0.0749627524935502,normal,3,3.0,CSX|SRE|NI
2003-10-31,1.163293411871399,0.08217090236192026,normal,3,3.0,CSX|SRE|NI
2003-11-28,1.3768352340728114,0.1835666049701821,normal,3,3.0,CSX|SRE|NI
2003-12-31,1.2112038104644924,-0.12029865267056339,normal,3,3.0,CSX|SRE|NI
2004-01-30,1.2716481560831976,0.049904355564671585,normal,3,3.0,CSX|SRE|NI
2004-02-27,1.2032439636100465,-0.05379176004457301,normal,3,3.0,CSX|SRE|NI
2004-03-31,1.1632927620601516,-0.03320291043059194,normal,3,3.0,CSX|SRE|NI
2004-04-30,1.2579425422327144,0.08136368011517697,normal,3,3.0,CSX|SRE|NI
2004-05-31,1.3695977191120179,0.08876015647036413,normal,3,3.0,CSX|SRE|NI
2004-06-30,1.3772143624464595,0.005561226649369609,normal,3,3.0,CSX|SRE|NI
2004-07-30,1.390066560961184,0.009332024748779179,normal,3,1.0,CSX|SRE|NI
2004-08-31,1.4217093248521526,0.022763488295904896,normal,3,1.0,CSX|SRE|NI
2004-09-30,1.7013075466427745,0.19666342261608072,normal,3,3.0,AAPL|NI|NEE
2004-10-29,2.0005810683158867,0.1759079493085624,normal,3,3.0,AAPL|NI|NEE
2004-11-30,2.2370080496879177,0.11817915560455541,normal,3,3.0,AAPL|NI|NEE
2004-12-31,2.5318806842584065,0.13181563410629044,normal,3,3.0,AAPL|NI|NEE
2005-01-31,2.7870582887071174,0.10078579375214636,normal,3,3.0,AAPL|NI|NEE
2005-02-28,2.7891434622067135,0.0007481628597596889,normal,3,3.0,AAPL|NI|NEE
2005-03-31,2.7781038622780034,-0.003958060988363724,normal,3,3.0,AAPL|NI|NEE
2005-04-29,2.997314282545427,0.07890648843044834,normal,3,3.0,AAPL|NI|NEE
2005-05-31,3.1591692443707595,0.053999996853142565,normal,3,3.0,AAPL|NI|NEE
2005-06-30,3.4343348483254106,0.08710062129306972,normal,3,3.0,AAPL|NI|NEE
2005-07-29,3.573735533278447,0.04059030091984421,normal,3,3.0,AAPL|NI|NEE
2005-08-31,4.301038285845714,0.20351331143411727,normal,3,3.0,AAPL|NI|NEE
2005-09-30,4.178474370652526,-0.02849635530949217,normal,3,3.0,CSX|NI|CL
2005-10-31,4.033547114106838,-0.03468425164064251,normal,3,3.0,CSX|NI|CL
2005-11-30,4.02921242287344,-0.001074659873994778,normal,3,3.0,CSX|NI|CL
2005-12-30,4.191925268284499,0.04038328793174435,normal,3,3.0,CSX|NI|CL
2006-01-31,4.273504323694223,0.019460999466507575,normal,3,3.0,CSX|NI|CL
2006-02-28,4.6481873184145,0.0876758197348406,normal,3,3.0,CSX|NI|CL
2006-03-31,5.691743533568157,0.2245082101186953,normal,3,3.0,CSX|NI|CL
2006-04-28,5.8911615046892525,0.0350363592359685,normal,3,3.0,CSX|NI|CL
2006-05-31,6.107644591479144,0.03674709759995124,normal,3,3.0,CSX|NI|CL
2006-06-30,5.732986940753758,-0.0613424119746713,normal,3,3.0,CSX|NI|CL
2006-07-31,5.255130236788665,-0.08335213544063394,normal,3,3.0,CSX|NI|CL
2006-08-31,5.967658024883729,0.13558708461818803,normal,3,3.0,CSX|NI|CL
2006-09-29,7.252637217870044,0.21532386534688383,normal,3,3.0,NVDA|HPQ|WMB
2006-10-31,8.746528776257637,0.20597908229943424,normal,3,3.0,NVDA|HPQ|WMB
2006-11-30,8.677999107001439,-0.007835070461578199,normal,3,3.0,NVDA|HPQ|WMB
2006-12-29,8.408722359756998,-0.03102981965360977,normal,3,3.0,NVDA|HPQ|WMB
2007-01-31,7.496980297713134,-0.10842813248387628,normal,3,3.0,NVDA|HPQ|WMB
2007-02-28,7.74505338448448,0.03308973438906032,normal,3,3.0,NVDA|HPQ|WMB
2007-03-30,9.272565212664912,0.19722418327554292,normal,3,3.0,NVDA|HPQ|WMB
2007-04-30,11.327797356457175,0.22164655590506183,normal,3,3.0,NVDA|HPQ|WMB
2007-05-31,12.478924042980106,0.10161963974988958,normal,3,3.0,NVDA|HPQ|WMB
2007-06-29,14.127965346928658,0.13214611277934682,normal,3,3.0,NVDA|HPQ|WMB
2007-07-31,15.966043385320798,0.13010210552305254,normal,3,3.0,NVDA|HPQ|WMB
2007-08-31,18.481883139041066,0.1575744029377581,normal,3,3.0,NVDA|HPQ|WMB
2007-09-28,15.96930357491591,-0.1359482443007981,normal,3,3.0,NVDA|AMZN|JCI
2007-10-31,13.752561417862639,-0.13881270067000678,normal,3,3.0,NVDA|AMZN|JCI
2007-11-30,15.177662948896225,0.10362444403866342,normal,3,3.0,NVDA|AMZN|JCI
2007-12-31,12.67698840677836,-0.16476018412964713,normal,3,1.0,NVDA|AMZN|JCI
2008-01-31,11.394002577615039,-0.10120588486752197,crash,3,1.0,NVDA|AMZN|JCI
2008-02-29,11.781461684832909,0.03400553094301406,crash,3,1.0,NVDA|AMZN|JCI
2008-03-31,12.560333969052609,0.06610998745787176,crash,3,1.0,NVDA|AMZN|JCI
2008-04-30,13.595941304660819,0.08245062099143557,normal,3,1.0,NVDA|AMZN|JCI
2008-05-30,11.427905382511332,-0.1594619948385819,normal,3,1.0,NVDA|AMZN|JCI
2008-06-30,10.19058915621632,-0.10827147975765836,crash,3,1.0,NVDA|AMZN|JCI
2008-07-31,10.699685668405326,0.04995751515293431,normal,3,1.0,NVDA|AMZN|JCI
2008-08-29,9.173831261174055,-0.14260740497610178,normal,3,1.0,NVDA|AMZN|JCI
2008-09-30,9.196456403909703,0.0024662697723036864,cash,0,0.0,
2008-10-31,9.219137346350974,0.0024662697723036864,cash,0,0.0,
2008-11-28,9.241874226114996,0.0024662697723036864,cash,0,0.0,
2008-12-31,8.430471406758128,-0.0877963494746625,normal,3,1.0,MBI|GNW|THC
2009-01-30,7.14799808948404,-0.15212355933572322,crash,3,1.0,MBI|GNW|THC
2009-02-27,9.405102357583374,0.3157673295156488,crash,3,1.0,MBI|GNW|THC
2009-03-31,14.674133916435363,0.5602311764957609,normal,3,1.0,MBI|GNW|THC
2009-04-30,25.31347839315928,0.7250407102260128,normal,3,1.0,MBI|GNW|THC
2009-05-29,12.214299894468718,-0.5174784079548106,normal,3,3.0,MBI|GNW|THC
2009-06-30,19.611921963854478,0.6056525657058571,crash,3,3.0,MBI|GNW|THC
2009-07-31,40.81612028473437,1.0811892052171141,normal,3,3.0,MBI|GNW|THC
2009-08-31,66.02366228818252,0.6175878997709645,normal,3,3.0,MBI|GNW|THC
2009-09-30,22.531390577374182,-0.6587376434977458,normal,3,3.0,MBI|GNW|THC
2009-10-30,15.927145616957938,-0.29311306542473975,normal,3,3.0,MBI|GNW|THC
2009-11-30,22.992082901726555,0.4435783695759296,normal,3,3.0,MBI|GNW|THC
2009-12-31,32.5616669760175,0.4162121420313919,normal,3,3.0,FITB|HBAN|SLM
2010-01-29,34.58745003244739,0.062213739177479244,normal,3,3.0,FITB|HBAN|SLM
2010-02-26,46.69212843379244,0.3499731373659906,normal,3,3.0,FITB|HBAN|SLM
2010-03-31,59.47335548051642,0.2737340848543078,normal,3,3.0,FITB|HBAN|SLM
2010-04-30,41.07160132654654,-0.3094117358150126,normal,3,3.0,FITB|HBAN|SLM
2010-05-31,38.12325032231212,-0.07178563554883267,crash,3,1.0,FITB|HBAN|SLM
2010-06-30,42.05690950168624,0.10318268107039924,crash,3,1.0,FITB|HBAN|SLM
2010-07-30,37.542199700680406,-0.10734763572736664,normal,3,1.0,FITB|HBAN|SLM
2010-08-31,40.04928910061019,0.06678056746590555,crash,3,1.0,FITB|HBAN|SLM
2010-09-30,42.70776968731378,0.06638021913510289,normal,3,3.0,FITB|HBAN|SLM
2010-10-29,40.33115440797095,-0.055648311694646874,normal,3,3.0,FITB|HBAN|SLM
2010-11-30,58.87642422014193,0.4598249190830437,normal,3,3.0,FITB|HBAN|SLM
2010-12-31,64.06848951180008,0.0881858122403078,normal,3,3.0,NFLX|JBL|AMZN
2011-01-31,67.66157130391004,0.056081887047581915,normal,3,3.0,NFLX|JBL|AMZN
2011-02-28,75.66578350453997,0.11829775818652004,normal,3,3.0,NFLX|JBL|AMZN
2011-03-31,80.79684323860754,0.06781215361048501,normal,3,3.0,NFLX|JBL|AMZN
2011-04-29,97.64865014463768,0.20857011524897998,normal,3,3.0,NFLX|JBL|AMZN
2011-05-31,94.36333868058118,-0.03364420766892613,normal,3,3.0,NFLX|JBL|AMZN
2011-06-30,97.72675759150871,0.035643280091145035,normal,3,3.0,NFLX|JBL|AMZN
2011-07-29,77.64390479405228,-0.2055000420806082,normal,3,3.0,NFLX|JBL|AMZN
2011-08-31,69.00210558918545,-0.11130041988213885,crash,3,1.0,NFLX|JBL|AMZN
2011-09-30,67.12195450424544,-0.02724773496237604,crash,3,1.0,NFLX|JBL|AMZN
2011-10-31,60.350708978596494,-0.10087974308347442,normal,3,1.0,NFLX|JBL|AMZN
2011-11-30,58.25230974492647,-0.03477008421581628,normal,3,1.0,NFLX|JBL|AMZN
2011-12-30,86.64982431364116,0.4874916495682473,normal,3,3.0,NFLX|NVDA|BBBY
2012-01-31,76.43462861573781,-0.11789055291015973,normal,3,3.0,NFLX|NVDA|BBBY
2012-02-29,63.2674803807244,-0.17226679155084298,normal,3,3.0,NFLX|NVDA|BBBY
2012-03-30,49.4716348246163,-0.21805587124837128,normal,3,3.0,NFLX|NVDA|BBBY
2012-04-30,44.96701987195756,-0.09105449958603992,normal,3,3.0,NFLX|NVDA|BBBY
2012-05-31,54.6634691220754,0.2156346868822578,normal,3,3.0,NFLX|NVDA|BBBY
2012-06-29,56.68940899035011,0.037062043459963154,normal,3,3.0,NFLX|NVDA|BBBY
2012-07-31,66.82786348045272,0.17884212713927586,normal,3,3.0,NFLX|NVDA|BBBY
2012-08-31,73.52662684619155,0.10023907718818856,normal,3,3.0,NFLX|NVDA|BBBY
2012-09-28,134.15114628486938,0.8245246931495538,normal,3,3.0,NFLX|NVDA|BBBY
2012-10-31,138.37149446380872,0.03145965051970144,normal,3,3.0,NFLX|NVDA|BBBY
2012-11-30,146.31716138669285,0.05742271523245232,normal,3,3.0,NFLX|NVDA|BBBY
2012-12-31,235.75851904220622,0.6112841228455367,normal,3,3.0,AMD|NVDA|NFLX
2013-01-31,261.95362297883855,0.11110989347512318,normal,3,3.0,AMD|NVDA|NFLX
2013-02-28,272.3327400349826,0.03962196414050939,normal,3,3.0,AMD|NVDA|NFLX
2013-03-28,351.4110763250773,0.29037396047179903,normal,3,3.0,AMD|NVDA|NFLX
2013-04-30,516.1174154354077,0.4686999079049138,normal,3,3.0,AMD|NVDA|NFLX
2013-05-31,476.2356263797278,-0.07727270551805485,normal,3,3.0,AMD|NVDA|NFLX
2013-06-28,514.7670443596561,0.08090830640462236,normal,3,3.0,AMD|NVDA|NFLX
2013-07-31,531.0682119306733,0.031667076883865074,normal,3,3.0,AMD|NVDA|NFLX
2013-08-30,678.886283708047,0.27834102749247247,normal,3,3.0,AMD|NVDA|NFLX
2013-09-30,600.4772192716526,-0.1154966101364246,normal,3,3.0,AMD|NVDA|NFLX
2013-10-31,728.2147215615639,0.21272664172814112,normal,3,3.0,AMD|NVDA|NFLX
2013-11-29,795.7886499834076,0.09279396093083637,normal,3,3.0,AMD|NVDA|NFLX
2013-12-31,789.0635749941846,-0.00845083049294973,normal,3,3.0,ORLY|KDP|MNST
2014-01-31,1047.273010162775,0.3272352740024699,normal,3,3.0,ORLY|KDP|MNST
2014-02-28,1053.0985849634549,0.005562613324460919,normal,3,3.0,ORLY|KDP|MNST
2014-03-31,1049.5583351818136,-0.0033617458348062425,normal,3,3.0,ORLY|KDP|MNST
2014-04-30,1119.1571872286304,0.06631251423939212,normal,3,3.0,ORLY|KDP|MNST
2014-05-30,1184.708339498643,0.058571890542325866,normal,3,3.0,ORLY|KDP|MNST
2014-06-30,1099.8565852390238,-0.07162248414282921,normal,3,3.0,ORLY|KDP|MNST
2014-07-31,1521.3603074383775,0.3832351670720336,normal,3,3.0,ORLY|KDP|MNST
2014-08-29,1550.588128724737,0.019211636548854306,normal,3,3.0,ORLY|KDP|MNST
2014-09-30,2075.147869530894,0.33829727642605817,normal,3,3.0,ORLY|KDP|MNST
2014-10-31,2487.6161827250994,0.19876574544417785,normal,3,3.0,ORLY|KDP|MNST
2014-11-30,2476.936089405982,-0.004293304326159209,normal,3,3.0,ORLY|KDP|MNST
2014-12-31,2091.1461833011463,-0.1557528705544259,normal,3,3.0,COL|NVDA|BBBY
2015-01-31,2572.7875006384675,0.2303240783372627,normal,3,3.0,COL|NVDA|BBBY
2015-02-28,2690.4616300868556,0.045737990183482194,normal,3,3.0,COL|NVDA|BBBY
2015-03-31,2739.7843340822724,0.018332431670406185,normal,3,3.0,COL|NVDA|BBBY
2015-04-30,2590.519566703688,-0.05448048064286165,normal,3,3.0,COL|NVDA|BBBY
2015-05-29,2255.3752942312317,-0.12937338006634364,normal,3,3.0,COL|NVDA|BBBY
2015-06-30,1965.780667277954,-0.12840196826399533,normal,3,3.0,COL|NVDA|BBBY
2015-07-31,2288.737217004668,0.1642892084058985,normal,3,3.0,COL|NVDA|BBBY
2015-08-31,2329.874921537034,0.01797397456847598,crash,3,1.0,COL|NVDA|BBBY
2015-09-30,2476.5567514990057,0.0629569547300868,crash,3,1.0,COL|NVDA|BBBY
2015-10-30,2556.3381465202156,0.03221464437385482,normal,3,3.0,COL|NVDA|BBBY
2015-11-30,2468.2834327505043,-0.03444564401214864,normal,3,3.0,COL|NVDA|BBBY
2015-12-31,2470.4391552155685,0.0008733690938653041,normal,3,1.0,NVDA|M|GME
2016-01-29,2729.7715155552232,0.10497419448366296,crash,3,1.0,NVDA|M|GME
2016-02-29,2910.4224762614112,0.066178051780808,crash,3,1.0,NVDA|M|GME
2016-03-31,2653.1740937578074,-0.08838867367257713,normal,3,3.0,NVDA|M|GME
2016-04-29,2667.842580956361,0.005528656122892363,normal,3,3.0,NVDA|M|GME
2016-05-31,2549.4257884620506,-0.044386724066702826,normal,3,3.0,NVDA|M|GME
2016-06-30,3635.852664554263,0.4261457152465703,normal,3,3.0,NVDA|M|GME
2016-07-29,3627.9151853778426,-0.002183113538621266,normal,3,3.0,NVDA|M|GME
2016-08-31,4093.9532810896494,0.1284589280339722,normal,3,3.0,NVDA|M|GME
2016-09-30,3649.1751857376544,-0.10864268955057857,normal,3,3.0,NVDA|M|GME
2016-10-31,5424.563360985251,0.4865176608090726,normal,3,3.0,NVDA|M|GME
2016-11-30,5453.8763681683495,0.005403754225441353,normal,3,3.0,NVDA|M|GME
2016-12-30,5080.34156821,-0.06848978134863709,normal,3,3.0,NVDA|COL|NAVI
2017-01-31,4652.1626792634215,-0.08428151595670033,normal,3,3.0,NVDA|COL|NAVI
2017-02-28,4699.536308524345,0.010183141159720736,normal,3,3.0,NVDA|COL|NAVI
2017-03-31,4547.759296119062,-0.03229616763040633,normal,3,3.0,NVDA|COL|NAVI
2017-04-28,6295.41394545005,0.38428917089398085,normal,3,3.0,NVDA|COL|NAVI
