date,equity,ret_m,regime,n_picks,gross,picks,weights_csv
2003-09-30,1.0266419635146615,0.027669633147809198,bull,3,1.0,"CSX,CMI,SRE","0.3778,0.2295,0.3927"
2003-10-31,1.0575012907228534,0.03005850949492299,recovery,3,1.0,"CSX,CMI,SRE","0.3778,0.2295,0.3927"
2003-11-28,1.1240122950036737,0.06289448993046332,recovery,3,1.0,"CSX,CMI,SRE","0.3778,0.2295,0.3927"
2003-12-31,1.0975518254673713,-0.023541085496948194,recovery,3,1.0,"CSX,CMI,SRE","0.3778,0.2295,0.3927"
2004-01-30,1.101054764953473,0.003191593695003947,recovery,3,1.0,"CSX,CMI,SRE","0.3778,0.2295,0.3927"
2004-02-27,1.135670649839025,0.03143884027150527,recovery,3,1.0,"CSX,CMI,SRE","0.3778,0.2295,0.3927"
2004-03-31,1.1479442009453333,0.011819134713440446,bull,3,1.0,"MO,BEN,ASH","0.2818,0.3241,0.3941"
2004-04-30,1.0693743518417478,-0.06844396185710358,bull,3,1.0,"MO,BEN,ASH","0.2818,0.3241,0.3941"
2004-05-31,1.1361277207747509,0.06242282584955949,recovery,3,1.0,"MO,BEN,ASH","0.2818,0.3241,0.3941"
2004-06-30,1.103025231655427,-0.029136239274885886,recovery,3,1.0,"MO,BEN,ASH","0.2818,0.3241,0.3941"
2004-07-30,1.144417587899488,0.03752620978754859,normal,3,1.0,"MO,BEN,ASH","0.2818,0.3241,0.3941"
2004-08-31,1.1951480063349715,0.044328590343142266,normal,3,1.0,"MO,BEN,ASH","0.2818,0.3241,0.3941"
2004-09-30,1.2104774089017765,0.0138402035372419,normal,3,1.0,"WOR,NI,CAG","0.1997,0.4009,0.3995"
2004-10-29,1.2502860992169218,0.03288676849513637,normal,3,1.0,"WOR,NI,CAG","0.1997,0.4009,0.3995"
2004-11-30,1.2968165585111548,0.03721584949506836,recovery,3,1.0,"WOR,NI,CAG","0.1997,0.4009,0.3995"
2004-12-31,1.3224989973423322,0.019804218771437405,recovery,3,1.0,"WOR,NI,CAG","0.1997,0.4009,0.3995"
2005-01-31,1.2834974368530447,-0.02949080533721712,normal,3,1.0,"WOR,NI,CAG","0.1997,0.4009,0.3995"
2005-02-28,1.2628621787316416,-0.01607736605380208,recovery,3,1.0,"WOR,NI,CAG","0.1997,0.4009,0.3995"
2005-03-31,1.1932408833378296,-0.05418394914944735,normal,3,1.0,"CSX,AAPL,WEN","0.4193,0.2234,0.3573"
2005-04-29,1.2953150698621636,0.08554365505714473,normal,3,1.0,"CSX,AAPL,WEN","0.4193,0.2234,0.3573"
2005-05-31,1.3032474817193485,0.006123924627873721,recovery,3,1.0,"CSX,AAPL,WEN","0.4193,0.2234,0.3573"
2005-06-30,1.4204566068777447,0.089936199227306,normal,3,1.0,"CSX,AAPL,WEN","0.4193,0.2234,0.3573"
2005-07-29,1.4078673428608,-0.00886282900582006,recovery,3,1.0,"CSX,AAPL,WEN","0.4193,0.2234,0.3573"
2005-08-31,1.500419705832963,0.06573940608928092,bull,3,1.0,"CSX,AAPL,WEN","0.4193,0.2234,0.3573"
2005-09-30,1.444188952791285,-0.036513195768703315,recovery,3,0.9999999999999999,"CSX,CMS,NI","0.2928,0.2763,0.4308"
2005-10-31,1.390858485917542,-0.0369276241662614,normal,3,0.9999999999999999,"CSX,CMS,NI","0.2928,0.2763,0.4308"
2005-11-30,1.4046160424540846,0.009891413595155711,recovery,3,0.9999999999999999,"CSX,CMS,NI","0.2928,0.2763,0.4308"
2005-12-30,1.4229025771843393,0.013018885003125362,normal,3,0.9999999999999999,"CSX,CMS,NI","0.2928,0.2763,0.4308"
2006-01-31,1.4277340336221187,0.003395493490032172,recovery,3,0.9999999999999999,"CSX,CMS,NI","0.2928,0.2763,0.4308"
2006-02-28,1.4201506115651883,-0.0053115089213720814,recovery,3,0.9999999999999999,"CSX,CMS,NI","0.2928,0.2763,0.4308"
2006-03-31,1.4469082948424568,0.019861301821836867,recovery,3,1.0,"PEG,ADM,EXC","0.3718,0.2465,0.3817"
2006-04-28,1.5389110187814368,0.06358573260442704,recovery,3,1.0,"PEG,ADM,EXC","0.3718,0.2465,0.3817"
2006-05-31,1.565128998696492,0.01703670946213343,bull,3,1.0,"PEG,ADM,EXC","0.3718,0.2465,0.3817"
2006-06-30,1.6133278031921559,0.030795419761442067,normal,3,1.0,"PEG,ADM,EXC","0.3718,0.2465,0.3817"
2006-07-31,1.6489451720339843,0.02207695718833786,recovery,3,1.0,"PEG,ADM,EXC","0.3718,0.2465,0.3817"
2006-08-31,1.5390546952894755,-0.06664289304959625,recovery,3,1.0,"PEG,ADM,EXC","0.3718,0.2465,0.3817"
2006-09-29,1.6501030397060548,0.07322683174029926,recovery,3,1.0,"HPQ,CNP,AES","0.2802,0.4292,0.2906"
2006-10-31,1.735581806038073,0.051802077976442776,recovery,3,1.0,"HPQ,CNP,AES","0.2802,0.4292,0.2906"
2006-11-30,1.7397053305206416,0.0023758744579037774,recovery,3,1.0,"HPQ,CNP,AES","0.2802,0.4292,0.2906"
2006-12-29,1.766391035951432,0.015339210015988435,recovery,3,1.0,"HPQ,CNP,AES","0.2802,0.4292,0.2906"
2007-01-31,1.7669560849938972,0.00031988898888440486,recovery,3,1.0,"HPQ,CNP,AES","0.2802,0.4292,0.2906"
2007-02-28,1.7874017575134205,0.01157112657929687,bull,3,1.0,"HPQ,CNP,AES","0.2802,0.4292,0.2906"
2007-03-30,1.7919519612671453,0.0035492577055112103,recovery,3,1.0,"HPQ,CAG,HST","0.2700,0.4472,0.2828"
2007-04-30,1.8605596778283424,0.03828658247773702,recovery,3,1.0,"HPQ,CAG,HST","0.2700,0.4472,0.2828"
2007-05-31,1.8485614176942269,-0.006448737053207639,recovery,3,1.0,"HPQ,CAG,HST","0.2700,0.4472,0.2828"
2007-06-29,1.778156374625284,-0.03808639647838244,bull,3,1.0,"HPQ,CAG,HST","0.2700,0.4472,0.2828"
2007-07-31,1.8519383043593027,0.041493498989686455,bull,3,1.0,"HPQ,CAG,HST","0.2700,0.4472,0.2828"
2007-08-31,1.8790358149036015,0.014631972609731852,recovery,3,1.0,"HPQ,CAG,HST","0.2700,0.4472,0.2828"
2007-09-28,2.0522515007891173,0.09327655721192502,recovery,3,1.0,"NVDA,AAPL,CSX","0.2899,0.3488,0.3613"
2007-10-31,1.9152113134755335,-0.0667755327555566,recovery,3,1.0,"NVDA,AAPL,CSX","0.2899,0.3488,0.3613"
2007-11-30,2.0496351291358414,0.07018745906234702,normal,3,1.0,"NVDA,AAPL,CSX","0.2899,0.3488,0.3613"
2007-12-31,1.7339693398825569,-0.15401072355076895,normal,3,1.0,"NVDA,AAPL,CSX","0.2899,0.3488,0.3613"
2008-01-31,1.6249108200647038,-0.06289529884377298,normal,3,1.0,"NVDA,AAPL,CSX","0.2899,0.3488,0.3613"
2008-02-29,1.764791478070769,0.08608512927527628,normal,3,1.0,"NVDA,AAPL,CSX","0.2899,0.3488,0.3613"
2008-03-31,1.890716973853796,0.07242674670335107,normal,3,1.0,"NI,GLW,UNM","0.3767,0.3186,0.3047"
2008-04-30,1.9352035663191616,0.02352895387334989,normal,3,1.0,"NI,GLW,UNM","0.3767,0.3186,0.3047"
2008-05-30,1.7427040475543685,-0.09947249070594429,normal,3,1.0,"NI,GLW,UNM","0.3767,0.3186,0.3047"
2008-06-30,1.745712444909735,0.0017262812693803267,normal,3,1.0,"NI,GLW,UNM","0.3767,0.3186,0.3047"
2008-07-31,1.7662351128016853,0.011756041467076468,normal,3,1.0,"NI,GLW,UNM","0.3767,0.3186,0.3047"
2008-08-29,1.5559772428575163,-0.11904296796061777,normal,3,1.0,"NI,GLW,UNM","0.3767,0.3186,0.3047"
2008-09-30,1.5598147024979683,0.0024662697723036864,cash,0,0.0,,
2008-10-31,1.5636616263491339,0.0024662697723036864,cash,0,0.0,,
2008-11-28,1.56751803775231,0.0024662697723036864,cash,0,0.0,,
2008-12-31,1.493965677719926,-0.0459687845103516,normal,3,1.0,"MAT,T,HSY","0.3066,0.3222,0.3712"
2009-01-30,1.3524370488072066,-0.09473352100613094,crash,3,1.0,"MAT,T,HSY","0.3066,0.3222,0.3712"
2009-02-27,1.3835916317619188,0.023035883986015637,crash,3,1.0,"MAT,T,HSY","0.3066,0.3222,0.3712"
2009-03-31,1.5472055249383254,0.11825302308894016,normal,3,1.0,"MAT,T,HSY","0.3066,0.3222,0.3712"
2009-04-30,1.5417518059174695,-0.003524883367433295,normal,3,1.0,"MAT,T,HSY","0.3066,0.3222,0.3712"
2009-05-29,1.5687511997968784,0.0175121532374933,recovery,3,1.0,"MAT,T,HSY","0.3066,0.3222,0.3712"
2009-06-30,1.7090740883537747,0.09053932417614331,normal,3,1.0,"FAST,NVDA,WU","0.3719,0.2804,0.3477"
2009-07-31,1.8047182922947795,0.05596258500012249,recovery,3,1.0,"FAST,NVDA,WU","0.3719,0.2804,0.3477"
2009-08-31,1.8994543937463284,0.0524935674758899,recovery,3,1.0,"FAST,NVDA,WU","0.3719,0.2804,0.3477"
2009-09-30,1.6878102823519108,-0.1114236341189473,recovery,3,1.0,"FAST,NVDA,WU","0.3719,0.2804,0.3477"
2009-10-30,1.787327040714898,0.05896205243181346,recovery,3,1.0,"FAST,NVDA,WU","0.3719,0.2804,0.3477"
2009-11-30,2.100214684272952,0.17505897713767296,recovery,3,1.0,"FAST,NVDA,WU","0.3719,0.2804,0.3477"
2009-12-31,1.9280384611059256,-0.08106135816130927,recovery,3,1.0,"NVDA,CF,CSX","0.2922,0.3782,0.3295"
2010-01-29,2.135371148235008,0.10753555559786708,bull,3,1.0,"NVDA,CF,CSX","0.2922,0.3782,0.3295"
2010-02-26,2.118104324655074,-0.008086099502751812,recovery,3,1.0,"NVDA,CF,CSX","0.2922,0.3782,0.3295"
2010-03-31,2.062626032396823,-0.026192426696114532,recovery,3,1.0,"NVDA,CF,CSX","0.2922,0.3782,0.3295"
2010-04-30,1.7812494243059391,-0.1364166861425274,recovery,3,1.0,"NVDA,CF,CSX","0.2922,0.3782,0.3295"
2010-05-31,1.585263059481066,-0.11002746844465033,crash,3,1.0,"NVDA,CF,CSX","0.2922,0.3782,0.3295"
2010-06-30,1.7434137700519614,0.10086393456504188,normal,3,1.0,"APH,STZ,CNP","0.2739,0.3065,0.4196"
2010-07-30,1.7263761579154058,-0.009772557971736096,normal,3,1.0,"APH,STZ,CNP","0.2739,0.3065,0.4196"
2010-08-31,1.9007434799864509,0.10100192896639233,normal,3,1.0,"APH,STZ,CNP","0.2739,0.3065,0.4196"
2010-09-30,2.022768370084311,0.0641985051547987,recovery,3,1.0,"APH,STZ,CNP","0.2739,0.3065,0.4196"
2010-10-29,2.0111806006127786,-0.0057286685133647285,recovery,3,1.0,"APH,STZ,CNP","0.2739,0.3065,0.4196"
2010-11-30,2.092545613158813,0.04045634316542415,bull,3,1.0,"APH,STZ,CNP","0.2739,0.3065,0.4196"
2010-12-31,2.147522238446118,0.027299905358538674,recovery,3,1.0,"NFLX,AMZN,KDP","0.2040,0.3583,0.4377"
2011-01-31,2.165627954510576,0.008430979544854032,recovery,3,1.0,"NFLX,AMZN,KDP","0.2040,0.3583,0.4377"
2011-02-28,2.298320088585938,0.06127189751083051,recovery,3,1.0,"NFLX,AMZN,KDP","0.2040,0.3583,0.4377"
2011-03-31,2.4151542894401827,0.05083460804022645,bull,3,1.0,"NFLX,AMZN,KDP","0.2040,0.3583,0.4377"
2011-04-29,2.5537175150007934,0.05737241142996656,recovery,3,1.0,"NFLX,AMZN,KDP","0.2040,0.3583,0.4377"
2011-05-31,2.603217728066885,0.01938358991365422,bull,3,1.0,"NFLX,AMZN,KDP","0.2040,0.3583,0.4377"
2011-06-30,2.649137651025879,0.018658336517833083,recovery,3,1.0,"CMG,NFLX,NI","0.2529,0.1829,0.5643"
2011-07-29,2.6609194839503707,0.0044474219449975524,bull,3,1.0,"CMG,NFLX,NI","0.2529,0.1829,0.5643"
2011-08-31,2.3879006534460547,-0.10260319117172055,normal,3,1.0,"CMG,NFLX,NI","0.2529,0.1829,0.5643"
2011-09-30,2.392964110286396,0.002120463777684458,crash,3,1.0,"CMG,NFLX,NI","0.2529,0.1829,0.5643"
2011-10-31,2.323315469274754,-0.029105593649420128,normal,3,1.0,"CMG,NFLX,NI","0.2529,0.1829,0.5643"
2011-11-30,2.435715372742503,0.04837909657737327,normal,3,1.0,"CMG,NFLX,NI","0.2529,0.1829,0.5643"
2011-12-30,2.493583250360322,0.024782845164516,recovery,3,1.0,"GME,EBAY,CSX","0.3656,0.2920,0.3424"
2012-01-31,2.518333645509523,0.009925634183508662,recovery,3,1.0,"GME,EBAY,CSX","0.3656,0.2920,0.3424"
2012-02-29,2.52513371851468,0.0027002271987599906,recovery,3,1.0,"GME,EBAY,CSX","0.3656,0.2920,0.3424"
2012-03-30,2.6772775227724686,0.06025178117984252,recovery,3,1.0,"GME,EBAY,CSX","0.3656,0.2920,0.3424"
2012-04-30,2.4430559348453977,-0.08748498649647703,normal,3,1.0,"GME,EBAY,CSX","0.3656,0.2920,0.3424"
2012-05-31,2.515055838402304,0.029471246454069667,bull,3,1.0,"GME,EBAY,CSX","0.3656,0.2920,0.3424"
2012-06-29,2.419602195842971,-0.03698988186217296,recovery,3,1.0,"ORLY,CMG,GOOGL","0.3437,0.3260,0.3302"
2012-07-31,2.4677755724205768,0.019909626739622963,recovery,3,1.0,"ORLY,CMG,GOOGL","0.3437,0.3260,0.3302"
2012-08-31,2.617623196935201,0.06072173911975404,recovery,3,1.0,"ORLY,CMG,GOOGL","0.3437,0.3260,0.3302"
2012-09-28,2.3872519613940177,-0.08800779111787727,recovery,3,1.0,"ORLY,CMG,GOOGL","0.3437,0.3260,0.3302"
2012-10-31,2.5151399375779224,0.05357121001556342,bull,3,1.0,"ORLY,CMG,GOOGL","0.3437,0.3260,0.3302"
2012-11-30,2.5877406071470923,0.02886545932672205,recovery,3,1.0,"ORLY,CMG,GOOGL","0.3437,0.3260,0.3302"
2012-12-31,2.8053280960188274,0.08516913344995808,recovery,3,1.0,"WMB,WY,LYB","0.3854,0.3605,0.2541"
2013-01-31,2.727211511044915,-0.027845792827146096,recovery,3,1.0,"WMB,WY,LYB","0.3854,0.3605,0.2541"
2013-02-28,2.943070492666333,0.07915006985971287,recovery,3,1.0,"WMB,WY,LYB","0.3854,0.3605,0.2541"
2013-03-28,2.9033423389029274,-0.013498879439823896,recovery,3,1.0,"WMB,WY,LYB","0.3854,0.3605,0.2541"
2013-04-30,2.8781196765755777,-0.008687457207295888,recovery,3,1.0,"WMB,WY,LYB","0.3854,0.3605,0.2541"
2013-05-31,2.7526771708168867,-0.043584881747497015,recovery,3,1.0,"WMB,WY,LYB","0.3854,0.3605,0.2541"
2013-06-28,2.922576328898772,0.06278420940343224,bull,3,0.9999999999999999,"CSX,KDP,HRL","0.2720,0.3624,0.3656"
2013-07-31,2.8528848751426152,-0.023845896877710195,recovery,3,0.9999999999999999,"CSX,KDP,HRL","0.2720,0.3624,0.3656"
2013-08-30,2.9162266555560126,0.022202711706069363,bull,3,0.9999999999999999,"CSX,KDP,HRL","0.2720,0.3624,0.3656"
2013-09-30,3.024006204752956,0.036958563900237676,recovery,3,0.9999999999999999,"CSX,KDP,HRL","0.2720,0.3624,0.3656"
2013-10-31,3.1276815660719572,0.03428410998497644,recovery,3,0.9999999999999999,"CSX,KDP,HRL","0.2720,0.3624,0.3656"
2013-11-29,3.1981600389708014,0.022533775069486277,recovery,3,0.9999999999999999,"CSX,KDP,HRL","0.2720,0.3624,0.3656"
2013-12-31,3.2169104186820445,0.00686973447005639,recovery,3,1.0,"ORLY,CMG,KDP","0.3465,0.2259,0.4276"
2014-01-31,3.5249857511168727,0.09576745769658249,bull,3,1.0,"ORLY,CMG,KDP","0.3465,0.2259,0.4276"
2014-02-28,3.58932905846576,0.018253494309445298,recovery,3,1.0,"ORLY,CMG,KDP","0.3465,0.2259,0.4276"
2014-03-31,3.5204781062470274,-0.019182123203873285,recovery,3,1.0,"ORLY,CMG,KDP","0.3465,0.2259,0.4276"
2014-04-30,3.6530308664889986,0.03765192006357268,recovery,3,1.0,"ORLY,CMG,KDP","0.3465,0.2259,0.4276"
2014-05-30,3.7792753935448755,0.0345588448797349,recovery,3,1.0,"ORLY,CMG,KDP","0.3465,0.2259,0.4276"
2014-06-30,3.809049640795181,0.008887182397708042,recovery,3,1.0000000000000002,"LUV,KDP,AVGO","0.3117,0.4480,0.2403"
