name,top_k,cagr,sharpe,max_dd,win_rate,ann_vol,n_months,cash_months,mean_m,std_m,avg_scale,ratio
4way+volasym10% K= 30,30,0.6655,1.841,-0.1375,0.497,0.3052,179,23,0.04683,0.0881,0.836,0.5315
4way+prerunner15% K= 30,30,0.6602,1.839,-0.1375,0.497,0.3035,179,23,0.04651,0.0876,0.836,0.531
5way_v1 K= 30,30,0.6417,1.837,-0.1384,0.497,0.2967,179,23,0.04541,0.08564,0.836,0.5302
4way+crt3m10% K= 30,30,0.6369,1.833,-0.1479,0.48,0.2955,179,23,0.04513,0.08531,0.836,0.529
4way+prerunner10% K= 30,30,0.6492,1.832,-0.1375,0.497,0.3005,179,23,0.04587,0.08675,0.836,0.5287
5way_v2 K= 30,30,0.6419,1.829,-0.1369,0.486,0.2982,179,23,0.04544,0.08607,0.836,0.528
4way+crt3m20% K= 30,30,0.6302,1.827,-0.147,0.486,0.2937,179,23,0.04473,0.08479,0.836,0.5275
4way+crt3m15% K= 30,30,0.6342,1.825,-0.1574,0.48,0.2959,179,23,0.04499,0.08542,0.836,0.5268
REF 3way K= 30,30,0.6312,1.825,-0.1358,0.497,0.2946,179,23,0.0448,0.08506,0.836,0.5267
lgbm60+sh12_10+sh5y_10+crt3m_10+crt6m_10 K= 30,30,0.6341,1.822,-0.126,0.492,0.2962,179,23,0.04499,0.08551,0.836,0.5261
4way+volasym15% K= 30,30,0.6638,1.811,-0.1375,0.486,0.3105,179,23,0.04685,0.08964,0.836,0.5227
4way+prerunner20% K= 40,40,0.5955,1.81,-0.1573,0.48,0.2828,179,23,0.04266,0.08165,0.836,0.5224
4way+crt3m15% K= 40,40,0.5859,1.809,-0.1567,0.492,0.279,179,23,0.04206,0.08054,0.836,0.5223
4way+volasym10% K= 25,25,0.707,1.808,-0.1278,0.492,0.3281,179,23,0.04944,0.09473,0.836,0.5219
4way+prerunner20% K= 30,30,0.6543,1.807,-0.1375,0.486,0.3072,179,23,0.04626,0.08868,0.836,0.5217
5way_v1 K= 40,40,0.5856,1.805,-0.1569,0.48,0.2795,179,23,0.04205,0.08069,0.836,0.5212
4way+prerunner15% K= 40,40,0.589,1.804,-0.1573,0.48,0.2813,179,23,0.04227,0.08119,0.836,0.5206
REF 3way K= 25,25,0.6761,1.802,-0.1288,0.486,0.3171,179,23,0.04761,0.09153,0.836,0.5202
4way+crt3m10% K= 40,40,0.5787,1.8,-0.1582,0.486,0.2776,179,23,0.04164,0.08015,0.836,0.5195
5way_v2 K= 40,40,0.5871,1.799,-0.1564,0.48,0.2812,179,23,0.04217,0.08119,0.836,0.5194
4way+volasym10% K= 40,40,0.6007,1.799,-0.1573,0.475,0.287,179,23,0.04302,0.08284,0.836,0.5193
4way+crt3m20% K= 40,40,0.5726,1.798,-0.1607,0.475,0.2755,179,23,0.04127,0.07952,0.836,0.5191
5way_v1 K= 25,25,0.6763,1.797,-0.1332,0.475,0.3181,179,23,0.04765,0.09184,0.836,0.5189
lgbm60+crt3m20+prerun10+sh5y10 K= 25,25,0.7112,1.797,-0.1304,0.486,0.3321,179,23,0.04973,0.09587,0.836,0.5187
4way+prerunner10% K= 40,40,0.5841,1.796,-0.1573,0.48,0.2806,179,23,0.04199,0.08099,0.836,0.5184
5way_v2 K= 25,25,0.6814,1.796,-0.1349,0.475,0.3205,179,23,0.04795,0.09251,0.836,0.5184
REF 3way K= 40,40,0.5727,1.795,-0.155,0.48,0.2759,179,23,0.04127,0.07964,0.836,0.5182
4way+prerunner20% K= 25,25,0.697,1.792,-0.1292,0.492,0.3275,179,23,0.04891,0.09453,0.836,0.5174
4way+volasym15% K= 25,25,0.6993,1.791,-0.1278,0.492,0.3288,179,23,0.04907,0.09492,0.836,0.517
lgbm60+sh12_10+sh5y_10+crt3m_10+crt6m_10 K= 25,25,0.6764,1.79,-0.1232,0.475,0.3196,179,23,0.04768,0.09227,0.836,0.5167
lgbm60+crt3m20+prerun10+sh5y10 K= 30,30,0.6656,1.789,-0.1365,0.486,0.3156,179,23,0.04704,0.09109,0.836,0.5164
4way+crt3m10% K= 25,25,0.6593,1.787,-0.1378,0.475,0.3133,179,23,0.04666,0.09044,0.836,0.5159
4way+crt3m15% K= 25,25,0.6587,1.786,-0.1422,0.475,0.3133,179,23,0.04663,0.09046,0.836,0.5155
4way+crt3m20% K= 25,25,0.6589,1.785,-0.1454,0.48,0.3136,179,23,0.04664,0.09054,0.836,0.5152
4way+prerunner15% K= 25,25,0.6927,1.783,-0.1292,0.492,0.3277,179,23,0.0487,0.09461,0.836,0.5147
4way+volasym15% K= 40,40,0.5995,1.783,-0.1573,0.48,0.2894,179,23,0.04301,0.08354,0.836,0.5148
lgbm60+crt3m20+prerun10+sh5y10 K= 40,40,0.5996,1.781,-0.1457,0.48,0.2898,179,23,0.04301,0.08365,0.836,0.5142
4way+prerunner10% K= 25,25,0.6777,1.779,-0.1278,0.486,0.3224,179,23,0.0478,0.09306,0.836,0.5136
lgbm60+sh12_10+sh5y_10+crt3m_10+crt6m_10 K= 40,40,0.5836,1.772,-0.148,0.486,0.2847,179,23,0.04204,0.08218,0.836,0.5116
lgbm70+crt3m20+sh5y10 K= 25,25,0.6748,1.772,-0.1339,0.469,0.3227,179,23,0.04766,0.09315,0.836,0.5116
lgbm70+crt3m20+sh5y10 K= 25,25,0.6748,1.772,-0.1339,0.469,0.3227,179,23,0.04766,0.09315,0.836,0.5116
lgbm70+crt3m20+sh5y10 K= 40,40,0.5847,1.766,-0.1409,0.48,0.2863,179,23,0.04212,0.08264,0.836,0.5097
lgbm70+crt3m20+sh5y10 K= 30,30,0.6314,1.746,-0.1446,0.486,0.3102,179,23,0.04512,0.08954,0.836,0.5039
lgbm65+crt3m20+prerun15 K= 40,40,0.6196,1.746,-0.1413,0.475,0.3051,179,23,0.04439,0.08809,0.836,0.5039
lgbm70+crt3m20+sh5y10 K= 20,20,0.7273,1.74,-0.1453,0.475,0.351,179,23,0.05091,0.10134,0.836,0.5024
lgbm70+crt3m20+sh5y10 K= 20,20,0.7273,1.74,-0.1453,0.475,0.351,179,23,0.05091,0.10134,0.836,0.5024
lgbm65+crt3m20+prerun15 K= 20,20,0.7838,1.727,-0.1585,0.486,0.3775,179,23,0.05434,0.10897,0.836,0.4987
lgbm65+crt3m20+prerun15 K= 20,20,0.7838,1.727,-0.1585,0.486,0.3775,179,23,0.05434,0.10897,0.836,0.4987
lgbm65+crt3m20+prerun15 K= 30,30,0.6803,1.718,-0.1441,0.475,0.3369,179,23,0.04824,0.09726,0.836,0.496
lgbm65+crt3m20+prerun15 K= 25,25,0.735,1.705,-0.1473,0.464,0.3628,179,23,0.05157,0.10474,0.836,0.4923
lgbm65+crt3m20+prerun15 K= 25,25,0.735,1.705,-0.1473,0.464,0.3628,179,23,0.05157,0.10474,0.836,0.4923
lgbm70+crt3m20+sh5y10 K= 15,15,0.8127,1.688,-0.147,0.492,0.399,179,23,0.05612,0.11518,0.836,0.4872
lgbm65+crt3m20+prerun15 K= 15,15,0.8719,1.657,-0.1607,0.464,0.433,179,23,0.05981,0.12501,0.836,0.4785
