date,ret_m,n_picks,scale,picks,reason,k_used
2019-04-30,-0.04050531712546384,30,1.0,"CDNS,VRSN,PYPL,INTU,AVGO,SNPS,FISV,ULTA,PAYX,ADP,CTAS,MSFT,ORLY,VRSK,XEL,CSCO,ADBE,SBUX,ISRG,LULU,ALGN,AMZN,AMD,ADSK,WDAY,COST,ADI,PEP,CSX,ROST",ok,30.0
2019-05-31,-0.001,30,1.0,"CDNS,VRSN,PYPL,SNPS,CTAS,VRSK,XEL,MSFT,INTU,LULU,FISV,PAYX,AVGO,CSCO,ULTA,SBUX,ADP,ADBE,AMZN,ADSK,ORLY,ROST,AMD,IDXX,WDAY,CHTR,TMUS,PEP,COST,CMCSA",ok,30.0
2019-06-28,0.0,0,0.0,,no_mem,
2019-07-31,-0.001,30,1.0,"CDNS,SNPS,PYPL,VRSN,VRSK,INTU,SBUX,MSFT,ADBE,CTAS,FISV,LULU,CSCO,ULTA,XEL,AVGO,COST,IDXX,CHTR,ADP,AMD,AMZN,PAYX,PEP,ADSK,ROST,ADI,WDAY,TMUS,CMCSA",ok,30.0
2019-08-30,0.0,0,0.0,,no_mem,
2019-09-30,0.004490201850419282,30,1.0,"CTAS,SNPS,FISV,VRSK,CDNS,VRSN,PYPL,INTU,XEL,SBUX,MSFT,COST,IDXX,ADBE,KLAC,TXN,PEP,LRCX,CHTR,ADP,TMUS,TTWO,ROST,PAYX,ADI,LULU,AVGO,AMZN,ASML,HAS",ok,30.0
2019-10-31,-0.001,30,1.0,"CTAS,FISV,SNPS,CDNS,VRSK,XEL,IDXX,MSFT,LRCX,TXN,INTU,COST,KLAC,CHTR,ADBE,ASML,LULU,SBUX,PAYX,VRSN,TTWO,PYPL,AMD,ROST,PEP,GOOG,AVGO,TMUS,AMZN,MCHP",ok,30.0
2019-11-29,0.0,0,0.0,,no_mem,
2019-12-31,0.02889373168326271,30,1.0,"CDW,CPRT,FISV,CTAS,MSFT,SNPS,CDNS,NVDA,CSGP,LRCX,ADBE,CHTR,VRSK,ROST,LULU,KLAC,COST,XEL,ASML,AAPL,AMD,AVGO,IDXX,ALGN,INTU,ADP,GOOG,ISRG,ORLY,GOOGL",ok,30.0
2020-01-31,-0.001,30,1.0,"CDW,CPRT,FISV,CTAS,MSFT,ADBE,NVDA,SNPS,CDNS,XEL,VRSK,CHTR,CSGP,AMZN,GOOG,COST,AAPL,LULU,LRCX,TTWO,IDXX,ROST,GOOGL,AMD,KLAC,ISRG,ASML,INTU,PEP,AVGO",ok,30.0
2020-02-28,0.0,0,0.0,,no_mem,
2020-03-31,0.0,0,0.0,,regime_dsma,
2020-04-30,-0.00044550604428905596,30,0.44550604428905594,"NVDA,ADBE,MSFT,AMZN,AMD,TTWO,COST,FISV,CSGP,SNPS,CPRT,CDNS,XEL,DXCM,NFLX,IDXX,CHTR,AAPL,NTES,PYPL,ISRG,ASML,GOOG,KLAC,VRSN,TMUS,LRCX,GOOGL,INTU,TSLA",ok,30.0
2020-05-29,0.0,0,0.0,,no_mem,
