date,ret_m,n_picks,scale,picks,reason,k_used
2019-04-30,-0.03773675349060346,30,1.0,"CDNS,PAYX,FISV,VRSN,SNPS,INTU,ADP,XEL,CTAS,PYPL,VRSK,CSCO,ORLY,ULTA,AVGO,SBUX,MSFT,PEP,COST,CSX,ADI,ADBE,ISRG,MDLZ,ROST,TMUS,CHKP,CMCSA,TXN,WDAY",ok,30.0
2019-05-31,-0.001,30,1.0,"CDNS,SNPS,CTAS,VRSN,PAYX,VRSK,PYPL,FISV,CSCO,XEL,MSFT,ADP,INTU,SBUX,ROST,AVGO,IDXX,PEP,ORLY,COST,ADI,LULU,ADBE,ULTA,TMUS,CSX,AMZN,CMCSA,MDLZ,TXN",ok,30.0
2019-06-28,0.0,0,0.0,,no_mem,
2019-07-31,-0.001,30,1.0,"SNPS,CDNS,VRSK,CTAS,MSFT,SBUX,VRSN,XEL,PYPL,CSCO,COST,FISV,INTU,PAYX,ADP,IDXX,PEP,ADBE,ULTA,MDLZ,CMCSA,CHTR,TMUS,LULU,ROST,AMZN,AVGO,ORLY,CSX,ADI",ok,30.0
2019-08-30,0.0,0,0.0,,no_mem,
2019-09-30,0.0014200338939095135,30,1.0,"CTAS,VRSK,FISV,SNPS,XEL,COST,SBUX,MSFT,INTU,VRSN,CDNS,PEP,IDXX,TMUS,ADP,PAYX,PYPL,CHTR,TXN,ROST,CMCSA,MDLZ,ADBE,KLAC,TTWO,LRCX,ADI,HAS,ASML,ORLY",ok,30.0
2019-10-31,-0.001,30,1.0,"CTAS,FISV,SNPS,XEL,VRSK,COST,MSFT,TXN,INTU,PAYX,CDNS,PEP,SBUX,IDXX,CHTR,TMUS,KLAC,ASML,ADP,VRSN,LRCX,ROST,MDLZ,ADBE,ORLY,SIRI,CMCSA,TTWO,GOOG,LULU",ok,30.0
2019-11-29,0.0,0,0.0,,no_mem,
2019-12-31,0.033756088445415895,30,1.0,"FISV,CDW,CPRT,CTAS,MSFT,COST,XEL,CHTR,ROST,ADP,VRSK,PAYX,SNPS,AAPL,ASML,NVDA,LRCX,CSGP,KLAC,CDNS,PEP,ADBE,ORLY,LULU,GOOG,SIRI,GOOGL,TMUS,VRSN,INTU",ok,30.0
2020-01-31,-0.001,30,1.0,"MSFT,CDW,CPRT,FISV,CTAS,CHTR,XEL,COST,SNPS,AAPL,ADBE,NVDA,PEP,VRSK,ASML,LRCX,KLAC,ROST,AMD,ADP,CDNS,GOOG,PAYX,AMZN,LULU,GOOGL,SIRI,CSGP,ORLY,AMGN",ok,30.0
