date,ret_m,n_picks,scale,picks,reason,k_used
2019-04-30,-0.08239297233703614,30,1.0,"BIIB,QCOM,NTES,EA,BKNG,ORLY,INTC,ULTA,JBHT,ADSK,MNST,TSLA,MCHP,SIRI,CHKP,KHC,CDNS,ADI,AMGN,LULU,EXPE,SBUX,CSCO,ASML,XEL,TXN,CHTR,KLAC,FAST,INCY",ok,30.0
2019-05-31,-0.001,30,1.0,"SWKS,QCOM,BIIB,MU,WDC,WYNN,TSLA,NVDA,ALGN,MCHP,JD,INCY,BKNG,NTES,AVGO,SIRI,AAPL,ADI,MAR,AAL,ASML,EBAY,COST,JBHT,KHC,NFLX,LULU,KLAC,ULTA,LRCX",ok,30.0
2019-06-28,0.0,0,0.0,,no_mem,
2019-07-31,-0.001,30,1.0,"ALGN,CDNS,BIDU,TSLA,INCY,NTES,PAYX,CHKP,HAS,CTSH,ULTA,XEL,NTAP,CHTR,HSIC,KLAC,DLTR,BKNG,ORLY,PYPL,WDAY,MAR,MNST,ILMN,ADP,ADI,CMCSA,PEP,CTAS,COST",ok,30.0
2019-08-30,0.0,0,0.0,,no_mem,
2019-09-30,0.044557419276038596,30,1.0,"BIDU,INCY,WDC,AAL,NTAP,JD,KHC,CDNS,ULTA,WDAY,TSLA,SWKS,SBUX,LULU,IDXX,ADP,MAR,CHTR,AMZN,EA,ORLY,ALGN,VRSN,SIRI,NTES,BMRN,AVGO,PYPL,HAS,MNST",ok,30.0
2019-10-31,-0.001,30,1.0,"ULTA,WDC,AAL,KLAC,WDAY,SWKS,AMD,LRCX,MNST,KHC,NTES,VRSK,UAL,EBAY,ILMN,EA,SNPS,INTU,FAST,ISRG,XEL,NVDA,CDNS,HSIC,HAS,VRTX,SBUX,BIDU,ALGN,MDLZ",ok,30.0
2019-11-29,0.0,0,0.0,,no_mem,
2019-12-31,-0.0004278646837857611,30,1.0,"AMD,KLAC,TSLA,LRCX,CDW,JD,ASML,MU,SWKS,GOOG,AMAT,GOOGL,MSFT,AVGO,BKNG,NVDA,FISV,FAST,CTAS,KHC,SIRI,INCY,UAL,SNPS,ADI,PCAR,EXC,EA,VRSN,INTU",ok,30.0
2020-01-31,-0.001,30,1.0,"TSLA,KHC,LBTYK,KLAC,ASML,CDW,AMD,AAL,ALGN,SBUX,QCOM,ISRG,LRCX,TXN,BKNG,CMCSA,EA,BIIB,SNPS,ADP,CTAS,LULU,DLTR,FAST,AAPL,ROST,VRSK,ADI,AMAT,ULTA",ok,30.0
2020-02-28,0.0,0,0.0,,no_mem,
2020-03-31,0.0,0,0.0,,regime_dsma,
2020-04-30,-0.00044550604428905596,30,0.44550604428905594,"WDC,DLTR,BIDU,XEL,SNPS,GOOG,REGN,GOOGL,PEP,EA,AAPL,CMCSA,NTAP,TXN,VRSK,AMAT,CSCO,WDAY,LBTYK,SBUX,LBTYA,CSGP,CHTR,ISRG,FAST,QCOM,BMRN,NTES,LULU,DXCM",ok,30.0
2020-05-29,0.0,0,0.0,,no_mem,
2020-06-30,0.02764293589949516,30,0.6115681492982223,"ULTA,ALGN,DXCM,WDC,EXPE,PYPL,DOCU,MAR,EBAY,BIDU,ADSK,CSGP,JD,MCHP,WDAY,XEL,NTAP,GOOG,GOOGL,COST,SNPS,INCY,REGN,FAST,SIRI,TMUS,ROST,FISV,BMRN,AMZN",ok,30.0
2020-07-31,0.052624231672527624,30,1.0,"BIDU,PYPL,AMD,INTC,ALGN,DOCU,TMUS,EBAY,NTAP,JD,IDXX,ISRG,SNPS,REGN,LRCX,BIIB,AMAT,KLAC,CDNS,DXCM,AMZN,QCOM,MAR,VRTX,MU,NTES,CTAS,TTWO,ROST,BKNG",ok,30.0
2020-08-31,-0.05359243411023241,30,1.0,"BMRN,PDD,DOCU,JD,AAPL,BIDU,WDC,CSCO,WDAY,ILMN,PYPL,LRCX,IDXX,EBAY,CDNS,MU,NVDA,AMZN,BIIB,KLAC,AMD,AMAT,ADBE,DXCM,ADSK,NTES,SNPS,LULU,INCY,FAST",ok,30.0
2020-09-30,-0.0007458152503056724,30,0.7458152503056724,"PDD,DOCU,AMD,AAPL,JD,BMRN,SNPS,CDNS,WDAY,KLAC,PYPL,ADSK,DXCM,MAR,BIDU,ADBE,LULU,BKNG,SWKS,QCOM,AMZN,EBAY,NVDA,INTU,SIRI,CSCO,ILMN,BIIB,ALGN,CTAS",ok,30.0
2020-10-30,0.0,0,0.0,,no_mem,
2020-11-30,0.06068469954347581,30,1.0,"NVDA,DXCM,PDD,MU,BKNG,JD,MCHP,QCOM,LRCX,LULU,BMRN,AMAT,LBTYA,DOCU,AAPL,KLAC,ULTA,FISV,ROST,CMCSA,CTAS,MAR,CDW,NTES,ADBE,PYPL,BIIB,INTU,AMZN,CDNS",ok,30.0
2020-12-31,-0.001,30,1.0,"NVDA,BIDU,QCOM,PDD,MTCH,OKTA,MRVL,MU,DOCU,INTC,AMD,LRCX,MAR,LULU,MCHP,JD,PYPL,CDW,AMAT,BKNG,PAYX,DXCM,AAPL,INTU,SIRI,WDAY,AMGN,CSCO,AEP,EBAY",ok,30.0
2021-01-29,0.0,0,0.0,,no_mem,
2021-02-26,0.0,0,0.0,,no_mem,
2021-03-31,0.03817212694227709,30,1.0,"DOCU,BIDU,AMAT,MU,DXCM,JD,MAR,AVGO,LRCX,PYPL,GOOG,MTCH,GOOGL,CDW,ASML,ADBE,ADI,KLAC,MRVL,AMZN,BIIB,MCHP,ADSK,INTC,CPRT,CSX,KDP,ROST,CSCO,AEP",ok,30.0
2021-04-30,0.0019432996126332665,30,1.0,"AMAT,MU,JD,DOCU,LRCX,KLAC,DXCM,ASML,MCHP,MAR,OKTA,AVGO,ILMN,CDW,ROST,ADI,SWKS,GOOG,GOOGL,GILD,ISRG,TXN,MRVL,INTU,CSX,IDXX,MSFT,ADBE,CMCSA,ADSK",ok,30.0
2021-05-31,0.07085690550952878,30,1.0,"PDD,DOCU,DXCM,KLAC,JD,MU,MAR,BIIB,GILD,AMAT,OKTA,MRVL,ADI,INTU,EBAY,AAPL,CDW,CDNS,GOOG,ROST,CSCO,NFLX,LULU,IDXX,SNPS,ADSK,AEP,GOOGL,PYPL,ASML",ok,30.0
2021-06-30,-0.001,30,1.0,"PDD,DOCU,DXCM,OKTA,ASML,MRVL,JD,LRCX,ILMN,MAR,ADBE,CPRT,KLAC,AAPL,GILD,CDW,GOOG,REGN,PAYX,TEAM,QCOM,GOOGL,ADSK,MSFT,AMD,KHC,SBUX,SNPS,AMZN,CDNS",ok,30.0
2021-07-30,0.0,0,0.0,,no_mem,
2021-08-31,-0.041814320218159624,30,1.0,"ZM,NVDA,JD,DOCU,CRWD,TSLA,AMD,MU,TEAM,DXCM,KHC,MAR,MTCH,INCY,IDXX,ADSK,CPRT,INTU,REGN,PYPL,VRTX,PAYX,ILMN,AAPL,DLTR,OKTA,MRVL,FISV,ADP,PCAR",ok,30.0
2021-09-30,-0.001,30,1.0,"ZM,NTES,DOCU,TEAM,AMD,NVDA,ASML,INCY,TSLA,JD,DLTR,ALGN,CRWD,OKTA,MTCH,INTU,DXCM,CPRT,MSFT,CSX,GOOGL,IDXX,GOOG,AAPL,FISV,CDNS,ADI,ISRG,ADBE,XEL",ok,30.0
2021-10-29,0.0,0,0.0,,no_mem,
2021-11-30,0.027054872638586497,30,1.0,"ZM,TSLA,KHC,CRWD,DOCU,AMD,JD,DLTR,QCOM,BIDU,TEAM,INCY,ASML,TMUS,OKTA,AMGN,ROST,ILMN,NTES,PCAR,SWKS,ADSK,FISV,MU,MAR,XEL,NVDA,ISRG,GOOG,CHKP",ok,30.0
2021-12-31,-0.12283209436307098,30,1.0,"TSLA,ZS,PDD,JD,DOCU,CRWD,ZM,DDOG,NVDA,DXCM,ADBE,INTU,ASML,FTNT,AMAT,NTES,TEAM,OKTA,KHC,AMD,MRVL,TMUS,ISRG,ADSK,MU,MSFT,LULU,CPRT,ROST,CDNS",ok,30.0
2022-01-31,-0.028398966029371173,30,0.9876315045454305,"TSLA,ZS,DDOG,NVDA,MRVL,AMD,PYPL,OKTA,ZM,DOCU,ALGN,BIIB,NFLX,ADSK,FTNT,ASML,ADBE,CRWD,TEAM,IDXX,INTU,JD,AMAT,MTCH,DXCM,CDNS,LRCX,KHC,SNPS,MU",ok,30.0
2022-02-28,0.0024731122444416826,30,0.8060425148481114,"TSLA,MRVL,AMD,NVDA,AMAT,TEAM,ZM,OKTA,ADSK,PYPL,DXCM,MU,ZS,ASML,ALGN,BIDU,CDNS,WDAY,FTNT,SWKS,BIIB,MSFT,ILMN,FISV,ADBE,NTES,DDOG,KLAC,AAPL,KHC",ok,30.0
2022-03-31,-0.0007830443306043512,30,0.7830443306043512,"DDOG,ZS,FTNT,OKTA,TEAM,PYPL,CRWD,JD,NVDA,BIIB,DOCU,MRVL,AMD,TSLA,MU,INTU,MTCH,LULU,ADSK,ADBE,NFLX,ZM,ISRG,SWKS,BIDU,LRCX,SBUX,MNST,ODFL,CDNS",ok,30.0
2022-04-29,0.0,0,0.0,,no_mem,
2022-05-31,0.0,0,0.0,,regime_dsma,
2022-06-30,0.0,0,0.0,,regime_dsma,
2022-07-29,0.0,0,0.0,,no_mem,
2022-08-31,0.0,0,0.0,,regime_dsma,
2022-09-30,0.0,0,0.0,,regime_dsma,
2022-10-31,0.051164857460141315,30,0.6453284431417712,"BIDU,NFLX,MTCH,META,MRVL,AMD,NTES,ALGN,TSLA,DXCM,AMZN,ZM,WDAY,BIIB,LULU,ILMN,COST,CRWD,ISRG,ADBE,QCOM,ROST,NVDA,SNPS,SBUX,MU,GOOG,FTNT,KDP,VRSK",ok,30.0
2022-11-30,-0.0006472370473047372,30,0.6472370473047372,"ROST,CRWD,ASML,LRCX,EBAY,ADI,DXCM,CPRT,LULU,INTC,SBUX,KLAC,SNPS,AVGO,MCHP,AMAT,ADSK,BIIB,GILD,MAR,DLTR,NTES,VRSK,FISV,FAST,KDP,WDAY,ORLY,MU,EA",ok,30.0
2022-12-30,0.0,0,0.0,,no_mem,
2023-01-31,-0.01955689227582988,30,1.0,"META,NFLX,LRCX,CHTR,ENPH,ASML,IDXX,WBD,LULU,DXCM,NVDA,MAR,ADBE,PYPL,WDAY,BKNG,MU,EBAY,ALGN,AMAT,MRNA,ABNB,QCOM,CSGP,AMD,ODFL,INTC,AMZN,ISRG,KDP",ok,30.0
2023-02-28,0.05005453875864105,30,1.0,"ENPH,NFLX,LRCX,WBD,ALGN,CTSH,MRNA,AMAT,IDXX,ADBE,ISRG,CMCSA,ROST,XEL,ADSK,CHTR,ASML,EBAY,AEP,AMGN,LULU,CSGP,SBUX,EXC,CRWD,META,KDP,ZM,NVDA,AMZN",ok,30.0
