date,ret_m,n_picks,scale,picks,reason,k_used
2019-04-30,-0.05853794492571656,10,1.0,"CDNS,ULTA,BIIB,NTES,FISV,ORLY,VRSN,CSCO,SBUX,ADI",ok,10.0
2019-05-31,-0.001,10,1.0,"QCOM,SWKS,ALGN,CDNS,WYNN,AVGO,MCHP,MU,WDC,JD",ok,10.0
2019-06-28,0.0,0,0.0,,no_mem,
2019-07-31,-0.001,10,1.0,"CDNS,ALGN,SNPS,PYPL,CTAS,PAYX,MSFT,VRSK,COST,ADBE",ok,10.0
2019-08-30,0.0,0,0.0,,no_mem,
2019-09-30,-0.026420920455867625,10,1.0,"SBUX,CDNS,IDXX,FISV,TTWO,SNPS,CTAS,VRSK,HAS,MSFT",ok,10.0
2019-10-31,-0.001,10,1.0,"KLAC,WDC,FISV,LRCX,SNPS,VRSK,CTAS,XEL,INTU,AMD",ok,10.0
2019-11-29,0.0,0,0.0,,no_mem,
2019-12-31,0.03900654296351766,10,1.0,"KLAC,LRCX,TSLA,CDW,AMD,ASML,FISV,MSFT,GOOG,NVDA",ok,10.0
2020-01-31,-0.001,10,1.0,"TSLA,AMD,CDW,KLAC,ASML,ALGN,LRCX,AAPL,NTES,NVDA",ok,10.0
2020-02-28,0.0,0,0.0,,no_mem,
2020-03-31,0.0,0,0.0,,regime_dsma,
2020-04-30,-0.00044550604428905596,10,0.44550604428905594,"REGN,DXCM,XEL,SNPS,MSFT,GOOG,AMZN,GOOGL,VRSK,PEP",ok,10.0
2020-05-29,0.0,0,0.0,,no_mem,
2020-06-30,0.039342412313573966,10,0.6115681492982223,"DOCU,DXCM,PYPL,ULTA,EBAY,ALGN,ADSK,SNPS,JD,REGN",ok,10.0
2020-07-31,0.07455015613787114,10,1.0,"DOCU,PYPL,AMD,TMUS,EBAY,SNPS,CDNS,AMZN,JD,IDXX",ok,10.0
2020-08-31,-0.06422226774497684,10,1.0,"PDD,DOCU,BMRN,PYPL,AAPL,CDNS,JD,AMZN,IDXX,ILMN",ok,10.0
2020-09-30,-0.0007458152503056724,10,0.7458152503056724,"DOCU,PDD,AMD,AAPL,PYPL,SNPS,CDNS,ADBE,LULU,JD",ok,10.0
2020-10-30,0.0,0,0.0,,no_mem,
2020-11-30,0.06178293121655078,10,1.0,"NVDA,PDD,DOCU,QCOM,JD,AAPL,LRCX,AMD,IDXX,PYPL",ok,10.0
2020-12-31,-0.001,10,1.0,"PDD,QCOM,NVDA,MTCH,AMD,OKTA,MRVL,LRCX,MU,BIDU",ok,10.0
2021-01-29,0.0,0,0.0,,no_mem,
2021-02-26,0.0,0,0.0,,no_mem,
2021-03-31,0.03216368916917836,10,1.0,"BIDU,AMAT,MU,DOCU,LRCX,KLAC,PYPL,ASML,MAR,GOOG",ok,10.0
2021-04-30,-0.01902670357195106,10,1.0,"AMAT,MU,LRCX,KLAC,ASML,DOCU,MCHP,JD,MAR,OKTA",ok,10.0
2021-05-31,0.08538776904270079,10,1.0,"PDD,AMAT,DOCU,ASML,KLAC,DXCM,CDW,GOOG,MU,OKTA",ok,10.0
2021-06-30,-0.001,10,1.0,"PDD,ASML,DOCU,GOOG,LRCX,GOOGL,CDW,AMAT,MSFT,KLAC",ok,10.0
2021-07-30,0.0,0,0.0,,no_mem,
2021-08-31,-0.053742760094278835,10,1.0,"NVDA,ZM,DOCU,TEAM,AMD,CRWD,TSLA,IDXX,ASML,DXCM",ok,10.0
2021-09-30,-0.001,10,1.0,"TEAM,DOCU,ZM,NVDA,ASML,AMD,INTU,NTES,ADBE,IDXX",ok,10.0
2021-10-29,0.0,0,0.0,,no_mem,
2021-11-30,-0.08259914709791308,10,1.0,"TSLA,TEAM,AMD,ZM,DOCU,CRWD,ASML,MSFT,INTU,NVDA",ok,10.0
2021-12-31,-0.15934099480793418,10,1.0,"TSLA,ZS,DDOG,NVDA,TEAM,AMD,INTU,MRVL,MSFT,FTNT",ok,10.0
2022-01-31,-6.603950061258475e-05,10,0.9876315045454305,"TSLA,MRVL,ZS,NVDA,DDOG,AMD,INTU,CDNS,SNPS,FTNT",ok,10.0
