date,ret_m,n_picks,scale,picks,reason,k_used
2007-01-31,-0.008693833836712864,19,1.0,"PBG,ATI,JNPR,CMVT,GT,CSCO,AMZN,HAS,TPR,CBRE,JWN,GOOGL,CCU,X,THC,NSC,VRSN,WEN,ADBE",ok,20.0
2007-02-28,-0.001,20,1.0,"AMD,PBG,ATI,CBRE,UIS,GOOGL,GT,X,JNPR,WEN,TPR,CME,KIM,SPG,SHW,BXP,WAT,NUE,THC,ADSK",ok,20.0
2007-03-30,0.0,0,0.0,,regime_dsma,
2007-04-30,0.0006695383247970351,20,1.0,"PBG,X,AMD,GT,CVG,BBBY,ATI,CHRW,ESRX,UIS,DE,HES,AIZ,SPG,VMC,CNX,PSA,BXP,SYMC,KIM",ok,20.0
2007-05-31,-0.001,20,1.0,"PBG,CVG,SYMC,THC,GT,CHRW,CCU,CBRE,VMC,TAP,CMI,EXC,AIZ,ADI,VLO,KIM,QCOM,PEG,SRE,NOV",ok,20.0
2007-06-29,0.0,0,0.0,,regime_dsma,
2007-07-31,-0.004259382908190635,20,1.0,"THC,PBG,BBBY,NOV,FCX,AKAM,JNPR,PPL,PHM,OXY,PEG,SLM,NE,MRO,CIEN,CCU,VLO,ESRX,CVG,AAPL",ok,20.0
2007-08-31,-0.0007698089189259993,20,0.7698089189259992,"THC,CCU,NOV,CMI,PBG,PHM,JEF,NE,CIEN,ESRX,AAPL,RIG,JNPR,EXC,FCX,OXY,PPL,CVG,PEG,BBBY",ok,20.0
2007-09-28,0.0,0,0.0,,regime_dsma,
2007-10-31,-0.04174932921885553,19,1.0,"MTG,JNPR,FLR,AAPL,OXY,MUR,X,CIEN,AMZN,CMI,CNX,CCU,NOV,NBL,HES,RIG,APA,NE,JEF",ok,20.0
2007-11-30,0.017178505879646713,19,0.7077891253605176,"BBBY,LEN,NOV,CMI,AMZN,DE,FCX,GOOGL,TXT,JNPR,CIEN,APA,NKE,PHM,RIG,CME,MCD,TROW,AAPL",ok,20.0
2007-12-31,-0.10187037771701557,20,1.0,"SLM,MBI,GME,GOOGL,MUR,AAPL,AMZN,CME,OXY,NBL,APA,DE,VRSN,HUM,APD,BBBY,PPL,ESRX,GILD,NEE",ok,20.0
2008-01-31,0.0,0,0.0,,regime_dsma,
2008-02-29,0.0,0,0.0,,regime_dsma,
2008-03-31,0.0,0,0.0,,regime_dsma,
2008-04-30,-0.001,20,1.0,"THC,DHI,R,PSA,CHK,CSX,ADM,GILD,MO,CBE,NUE,APA,EOG,SPG,CHRW,HES,STT,KIM,ESRX,EQR",ok,20.0
2008-05-30,0.0,0,0.0,,regime_dsma,
2008-06-30,0.0,0,0.0,,regime_dsma,
2008-07-31,0.0,0,0.0,,regime_dsma,
2008-08-29,0.0,0,0.0,,regime_dsma,
2008-09-30,0.0,0,0.0,,regime_dsma,
2008-10-31,0.0,0,0.0,,regime_dsma,
2008-11-28,0.0,0,0.0,,regime_dsma,
2008-12-31,0.0,0,0.0,,regime_dsma,
2009-01-30,0.0,0,0.0,,regime_dsma,
2009-02-27,0.0,0,0.0,,regime_dsma,
2009-03-31,0.0,0,0.0,,regime_dsma,
2009-04-30,0.0,0,0.0,,regime_dsma,
2009-05-29,0.0,0,0.0,,regime_dsma,
2009-06-30,0.05511508334380602,20,0.9786152025999633,"MDP,TLAB,ORLY,SBUX,SVU,SYMC,AZO,DGX,AMZN,CBE,MYL,MCD,NEE,SJM,IBM,HRL,TJX,BIIB,CMS,JNPR",ok,20.0
2009-07-31,0.026653333416116875,20,1.0,"MDP,TLAB,TJX,IRM,SYMC,AAPL,CTSH,MCD,EMN,ROK,NEE,JCI,JNPR,EBAY,SEE,PBI,AMZN,FIS,CBE,SYK",ok,20.0
2009-08-31,0.054230371373933176,20,1.0,"EBAY,CBE,FISV,EMN,KLAC,YUM,TJX,AAPL,HPQ,APD,MA,MCD,ADBE,SRE,RL,MCHP,NTAP,ROK,CSCO,IFF",ok,20.0
2009-09-30,-0.001,20,1.0,"ESRX,MCK,LEG,ANTM,GPS,PDCO,UTX,RTN,BIG,MDP,CAT,MUR,JNPR,CSX,A,KSS,JCP,ROK,EMN,RSG",ok,20.0
2009-10-30,0.0,0,0.0,,regime_dsma,
2009-11-30,0.03156648011108564,20,1.0,"RRD,BEN,WHR,MA,CRM,ESRX,CAT,R,GE,ISRG,RL,NWL,MCK,GPS,AIZ,CSX,GIS,HUM,WELL,AAPL",ok,20.0
