date,ret_m,n_picks,scale,picks,reason,k_used
2019-04-30,-0.0650335157006808,30,1.0,"CDNS,ULTA,BIIB,NTES,FISV,ORLY,VRSN,CSCO,SBUX,ADI,ADSK,SNPS,PAYX,MCHP,AVGO,KLAC,XEL,CTAS,INTC,EA,ADP,FAST,TXN,PYPL,INTU,QCOM,LULU,CHKP,VRSK,LRCX",ok,30.0
2019-05-31,-0.001,30,1.0,"QCOM,SWKS,ALGN,CDNS,WYNN,AVGO,MCHP,MU,WDC,JD,SNPS,NVDA,ADI,NFLX,CTAS,INCY,LRCX,NTES,LULU,VRSN,KLAC,EBAY,ASML,MAR,AAPL,ROST,VRSK,FISV,PAYX,ADBE",ok,30.0
2019-06-28,0.0,0,0.0,,no_mem,
2019-07-31,-0.001,30,1.0,"CDNS,ALGN,SNPS,PYPL,CTAS,PAYX,MSFT,VRSK,COST,ADBE,XEL,HAS,ADP,ILMN,CSCO,ULTA,CHTR,PEP,FISV,INTU,VRSN,AMZN,IDXX,MAR,ADI,LULU,CMCSA,KLAC,SBUX,AMD",ok,30.0
2019-08-30,0.0,0,0.0,,no_mem,
2019-09-30,0.0038750651276255035,30,1.0,"SBUX,CDNS,IDXX,FISV,TTWO,SNPS,CTAS,VRSK,HAS,MSFT,ADP,VRSN,WDC,CHTR,LULU,INTU,TMUS,INCY,XEL,COST,PYPL,BIDU,AMZN,ROST,PEP,WDAY,JD,PAYX,ADBE,SIRI",ok,30.0
2019-10-31,-0.001,30,1.0,"KLAC,WDC,FISV,LRCX,SNPS,VRSK,CTAS,XEL,INTU,AMD,HAS,ISRG,ULTA,IDXX,SBUX,TXN,COST,MSFT,TTWO,CDNS,PEP,NVDA,TMUS,GOOG,MDLZ,AMAT,NTES,SIRI,ROST,ASML",ok,30.0
2019-11-29,0.0,0,0.0,,no_mem,
2019-12-31,0.018922755870293226,30,1.0,"KLAC,LRCX,TSLA,CDW,AMD,ASML,FISV,MSFT,GOOG,NVDA,AMAT,GOOGL,SWKS,CTAS,AVGO,AMGN,MU,JD,SIRI,FAST,AAPL,ROST,LULU,CPRT,ISRG,NTES,ADP,CHTR,SNPS,INTC",ok,30.0
2020-01-31,-0.001,30,1.0,"TSLA,AMD,CDW,KLAC,ASML,ALGN,LRCX,AAPL,NTES,NVDA,KHC,MSFT,ISRG,SWKS,SNPS,LULU,FISV,INTC,AMGN,FAST,CTAS,QCOM,JD,AMAT,ADP,CHTR,TXN,AVGO,ROST,GOOG",ok,30.0
2020-02-28,0.0,0,0.0,,no_mem,
2020-03-31,0.0,0,0.0,,regime_dsma,
2020-04-30,0.0,0,0.0,,regime_breadth,
2020-05-29,0.0,0,0.0,,no_mem,
