date,ret_m,n_picks,scale,picks,reason,k_used
2007-01-31,-0.006618546196727828,29,1.0,"PBG,ATI,JNPR,CMVT,GT,CSCO,AMZN,HAS,TPR,CBRE,JWN,GOOGL,CCU,X,THC,NSC,VRSN,WEN,ADBE,CME,VNO,FCX,IPG,SYY,CVG,BK,FNMA,A,KIM",ok,30.0
2007-02-28,-0.001,30,1.0,"AMD,PBG,ATI,CBRE,UIS,GOOGL,GT,X,JNPR,WEN,TPR,CME,KIM,SPG,SHW,BXP,WAT,NUE,THC,ADSK,AVB,AZO,VMC,HAS,PSA,NCR,IPG,CCU,NSC,PRU",ok,30.0
2007-03-30,0.0,0,0.0,,regime_dsma,
2007-04-30,0.01906671879349211,30,1.0,"PBG,X,AMD,GT,CVG,BBBY,ATI,CHRW,ESRX,UIS,DE,HES,AIZ,SPG,VMC,CNX,PSA,BXP,SYMC,KIM,PRU,AVB,CIEN,SHW,CME,TSN,PPL,TPR,CTSH,RL",ok,30.0
2007-05-31,-0.001,30,1.0,"PBG,CVG,SYMC,THC,GT,CHRW,CCU,CBRE,VMC,TAP,CMI,EXC,AIZ,ADI,VLO,KIM,QCOM,PEG,SRE,NOV,FE,CAT,PRU,MAT,PPL,GNW,BXP,HAS,WHR,SPG",ok,30.0
2007-06-29,0.0,0,0.0,,regime_dsma,
2007-07-31,-0.005790611783125743,30,1.0,"THC,PBG,BBBY,NOV,FCX,AKAM,JNPR,PPL,PHM,OXY,PEG,SLM,NE,MRO,CIEN,CCU,VLO,ESRX,CVG,AAPL,CAT,SLB,EXC,HAL,FLR,KBH,TEX,RIG,HES,APA",ok,30.0
2007-08-31,-0.0007698089189259993,30,0.7698089189259992,"THC,CCU,NOV,CMI,PBG,PHM,JEF,NE,CIEN,ESRX,AAPL,RIG,JNPR,EXC,FCX,OXY,PPL,CVG,PEG,BBBY,JCI,CAT,CSX,GLW,FLR,ADSK,SLB,LH,TXT,NKE",ok,30.0
2007-09-28,0.0,0,0.0,,regime_dsma,
2007-10-31,-0.028872118556140414,29,1.0,"MTG,JNPR,FLR,AAPL,OXY,MUR,X,CIEN,AMZN,CMI,CNX,CCU,NOV,NBL,HES,RIG,APA,NE,JEF,CVX,XOM,TXT,ESRX,GT,ADSK,COP,IGT,DE,ICE",ok,30.0
2007-11-30,0.014835004135793955,29,0.7077891253605176,"BBBY,LEN,NOV,CMI,AMZN,DE,FCX,GOOGL,TXT,JNPR,CIEN,APA,NKE,PHM,RIG,CME,MCD,TROW,AAPL,EXC,PPL,FLR,GD,WMB,CVX,EIX,YUM,GILD,ESRX",ok,30.0
2007-12-31,-0.10542005213046249,30,1.0,"SLM,MBI,GME,GOOGL,MUR,AAPL,AMZN,CME,OXY,NBL,APA,DE,VRSN,HUM,APD,BBBY,PPL,ESRX,GILD,NEE,DHR,WAT,EMR,EOG,MCD,XOM,DVN,ETR,CVX,PEP",ok,30.0
2008-01-31,0.0,0,0.0,,regime_dsma,
2008-02-29,0.0,0,0.0,,regime_dsma,
2008-03-31,0.0,0,0.0,,regime_dsma,
2008-04-30,-0.001,30,1.0,"THC,DHI,R,PSA,CHK,CSX,ADM,GILD,MO,CBE,NUE,APA,EOG,SPG,CHRW,HES,STT,KIM,ESRX,EQR,MUR,FE,BXP,ANF,EXC,KBH,SLB,WMB,HAL,MCD",ok,30.0
2008-05-30,0.0,0,0.0,,regime_dsma,
2008-06-30,0.0,0,0.0,,regime_dsma,
2008-07-31,0.0,0,0.0,,regime_dsma,
2008-08-29,0.0,0,0.0,,regime_dsma,
2008-09-30,0.0,0,0.0,,regime_dsma,
2008-10-31,0.0,0,0.0,,regime_dsma,
2008-11-28,0.0,0,0.0,,regime_dsma,
2008-12-31,0.0,0,0.0,,regime_dsma,
2009-01-30,0.0,0,0.0,,regime_dsma,
2009-02-27,0.0,0,0.0,,regime_dsma,
2009-03-31,0.0,0,0.0,,regime_dsma,
2009-04-30,0.0,0,0.0,,regime_dsma,
2009-05-29,0.0,0,0.0,,regime_dsma,
2009-06-30,0.0576191145960689,30,0.9786152025999633,"MDP,TLAB,ORLY,SBUX,SVU,SYMC,AZO,DGX,AMZN,CBE,MYL,MCD,NEE,SJM,IBM,HRL,TJX,BIIB,CMS,JNPR,GLW,SEE,WEC,AGN,ADI,VFC,MO,CTSH,GOOGL,CAG",ok,30.0
2009-07-31,0.030878968533805423,30,1.0,"MDP,TLAB,TJX,IRM,SYMC,AAPL,CTSH,MCD,EMN,ROK,NEE,JCI,JNPR,EBAY,SEE,PBI,AMZN,FIS,CBE,SYK,MAT,WU,WAT,ADI,MO,GPS,DIS,SJM,ORLY,GOOGL",ok,30.0
2009-08-31,0.04664894179332138,30,1.0,"EBAY,CBE,FISV,EMN,KLAC,YUM,TJX,AAPL,HPQ,APD,MA,MCD,ADBE,SRE,RL,MCHP,NTAP,ROK,CSCO,IFF,PEG,FDX,MSFT,NI,JNPR,UNP,PPG,LOW,TWX,TXN",ok,30.0
2009-09-30,-0.001,30,1.0,"ESRX,MCK,LEG,ANTM,GPS,PDCO,UTX,RTN,BIG,MDP,CAT,MUR,JNPR,CSX,A,KSS,JCP,ROK,EMN,RSG,FDX,UNP,CTL,TMO,MAT,JCI,DVN,SNA,ITW,TXN",ok,30.0
2009-10-30,0.0,0,0.0,,regime_dsma,
