date,ret_m,n_picks,scale,picks,reason,k_used
2019-04-30,-0.05183720623896072,50,1.0,"PYPL,CDNS,FISV,AVGO,INTU,ORLY,VRSK,SNPS,XEL,ULTA,VRSN,PAYX,SBUX,ADP,CTAS,PEP,CSX,ISRG,COST,ROST,ADBE,MSFT,CSCO,LULU,ADI,FAST,IDXX,AMZN,MDLZ,ADSK,WDAY,CHKP,GOOG,CMCSA,GOOGL,TMUS,ALGN,NFLX,CHTR,TXN,KLAC,AMGN,AMD,MCHP,PCAR,REGN,NTES,MNST,DLTR,CTSH",ok,50.0
2019-05-31,-0.001,50,1.0,"PYPL,CDNS,VRSK,SNPS,CTAS,XEL,SBUX,VRSN,FISV,AVGO,ROST,ORLY,PAYX,IDXX,INTU,ADP,ULTA,LULU,MSFT,CSX,PEP,CSCO,ADBE,COST,AMZN,ADSK,FAST,TMUS,ADI,CMCSA,MDLZ,CHTR,WDAY,NFLX,HAS,GOOG,NTES,ISRG,TXN,ALGN,DLTR,GOOGL,CHKP,AMD,AAPL,LRCX,MNST,KLAC,MCHP,PCAR",ok,50.0
2019-06-28,0.0,0,0.0,,no_mem,
2019-07-31,-0.001,50,1.0,"VRSK,PYPL,SBUX,SNPS,CDNS,XEL,CTAS,FISV,VRSN,INTU,COST,MSFT,IDXX,ADBE,ULTA,CHTR,CSCO,AVGO,PEP,ROST,LULU,ADP,PAYX,ORLY,MDLZ,AMZN,CSX,CMCSA,TMUS,HAS,ADSK,ADI,WDAY,AMD,TXN,ISRG,MAR,NFLX,MNST,EBAY,HSIC,TTWO,AAPL,FAST,ASML,GOOG,GOOGL,NTES,ILMN,KLAC",ok,50.0
2019-08-30,0.0,0,0.0,,no_mem,
2019-09-30,0.01239960812917152,50,1.0,"VRSK,CTAS,FISV,XEL,SBUX,SNPS,PYPL,COST,IDXX,CDNS,INTU,PEP,VRSN,CHTR,MSFT,ROST,ADBE,ADP,TMUS,KLAC,HAS,PAYX,TXN,MDLZ,LRCX,AVGO,ORLY,CMCSA,ADI,TTWO,LULU,GOOG,ASML,GOOGL,AMZN,MCHP,EXPE,ISRG,EBAY,AMAT,NTES,BKNG,FAST,MNST,AMGN,CSX,SIRI,WDAY,AAPL,DLTR",ok,50.0
2019-10-31,-0.001,50,1.0,"CTAS,FISV,VRSK,XEL,SNPS,IDXX,CHTR,COST,SBUX,CDNS,MSFT,PEP,TXN,INTU,ASML,KLAC,ROST,LRCX,ADBE,PAYX,ORLY,LULU,GOOG,TMUS,GOOGL,VRSN,ADP,AVGO,TTWO,MDLZ,PYPL,MCHP,HAS,ADI,AMZN,CMCSA,AAPL,DLTR,ISRG,AMAT,EXPE,SIRI,NTES,AMD,EBAY,AMGN,JBHT,FAST,PCAR,BKNG",ok,50.0
2019-11-29,0.0,0,0.0,,no_mem,
2019-12-31,0.016295812957733465,50,1.0,"CDW,CPRT,FISV,CTAS,CHTR,MSFT,ROST,VRSK,XEL,COST,AAPL,SNPS,CSGP,ADBE,ASML,ORLY,CDNS,ADP,LRCX,LULU,KLAC,AVGO,PEP,NVDA,GOOG,SBUX,PAYX,GOOGL,IDXX,INTU,ISRG,AMD,FAST,VRSN,AMZN,PCAR,AMGN,TMUS,TXN,ADSK,AMAT,ALGN,PYPL,TTWO,SIRI,MDLZ,ADI,NTES,MCHP,CMCSA",ok,50.0
2020-01-31,-0.001,50,1.0,"CDW,CPRT,FISV,MSFT,CHTR,CTAS,ADBE,AAPL,XEL,VRSK,COST,SNPS,ROST,NVDA,ASML,GOOG,PEP,LULU,KLAC,LRCX,GOOGL,CSGP,CDNS,AMZN,AMD,IDXX,ORLY,NTES,ISRG,ADP,AVGO,SBUX,AMGN,TTWO,INTU,ADSK,PAYX,VRSN,PYPL,MAR,TSLA,FAST,TXN,SIRI,PCAR,MCHP,TMUS,AMAT,CSX,CMCSA",ok,50.0
