name,top_k,weighting,regime,cagr,sharpe,max_dd,win_rate,ann_vol,n_months,cash_months,mean_m,std_m,elapsed_s
composite_v1 K=20 EW,20,ew,none,0.2333,1.301,-0.2357,0.53,0.1741,219,0,0.01888,0.05025,1.44
composite_v1 K=20 inv_vol,20,inv_vol,none,0.2202,1.279,-0.2212,0.516,0.1679,219,0,0.01789,0.04847,1.45
smooth K= 5 + regime_200ma,5,ew,200ma,0.2114,1.249,-0.2296,0.452,0.1655,219,30,0.01722,0.04778,1.42
composite_v1 K=10 inv_vol,10,inv_vol,none,0.2223,1.234,-0.3,0.498,0.1765,219,0,0.01815,0.05094,1.28
composite_v1 K=10 EW,10,ew,none,0.2244,1.232,-0.3333,0.498,0.1783,219,0,0.01831,0.05148,1.21
smooth K=10 + regime_200ma,10,ew,200ma,0.1837,1.23,-0.1832,0.47,0.1468,219,30,0.01504,0.04237,1.38
composite_v1 K=10 + regime,10,ew,200ma,0.203,1.227,-0.1859,0.447,0.1622,219,30,0.01659,0.04683,1.05
composite_v1 K=20 + regime,20,ew,200ma,0.2011,1.219,-0.2216,0.47,0.1621,219,30,0.01647,0.0468,1.06
smooth K=20 + regime_200ma,20,ew,200ma,0.1673,1.167,-0.2057,0.47,0.1421,219,30,0.01382,0.04102,1.44
mom_qual K=20 + regime_200ma,20,ew,200ma,0.1697,1.166,-0.175,0.461,0.1441,219,30,0.014,0.0416,0.92
smooth K=10 inv_vol + regime,10,inv_vol,conservative,0.1614,1.129,-0.1856,0.425,0.1423,219,44,0.01339,0.04107,1.37
composite_v1 K= 5 inv_vol,5,inv_vol,none,0.204,1.122,-0.4084,0.489,0.181,219,0,0.01693,0.05225,1.55
composite_v1 K= 5 EW,5,ew,none,0.1957,1.086,-0.4182,0.489,0.1806,219,0,0.01634,0.05212,1.21
smooth K=20 inv_vol + regime,20,inv_vol,conservative,0.1476,1.083,-0.2072,0.429,0.1365,219,44,0.01232,0.03941,1.62
mom_qual K=10 + regime_200ma,10,ew,200ma,0.1686,1.077,-0.1986,0.452,0.1568,219,30,0.01408,0.04528,1.01
mom_qual K=20 inv_vol,20,inv_vol,none,0.1791,1.071,-0.4409,0.53,0.168,219,0,0.01499,0.04851,1.14
mom_qual K=20 EW,20,ew,none,0.1808,1.054,-0.4685,0.525,0.1728,219,0,0.01518,0.04988,1.01
mom_12_1 K=30 EW,30,ew,none,0.32,1.027,-0.5865,0.502,0.3179,219,0,0.02721,0.09177,0.3
ml_smooth K=10 inv_vol + regime,10,inv_vol,200ma,0.1223,0.978,-0.1732,0.434,0.1267,219,30,0.01033,0.03658,1.64
mom_qual K=10 inv_vol,10,inv_vol,none,0.1795,0.976,-0.4909,0.502,0.1882,219,0,0.0153,0.05434,1.09
mom_qual K=10 EW,10,ew,none,0.1834,0.975,-0.4979,0.511,0.1925,219,0,0.01565,0.05558,1.04
ml_smooth K=20 EW,20,ew,none,0.1354,0.963,-0.515,0.525,0.1433,219,0,0.0115,0.04136,1.89
mom_qual K= 5 + regime_200ma,5,ew,200ma,0.1666,0.954,-0.2509,0.438,0.1791,219,30,0.01423,0.05169,0.9
ml_smooth K= 5 inv_vol + regime,5,inv_vol,200ma,0.1348,0.914,-0.2781,0.452,0.1518,219,30,0.01156,0.04383,1.56
mom_12_1 K=20 EW,20,ew,none,0.3187,0.902,-0.6261,0.507,0.3755,219,0,0.02822,0.10841,0.27
ml_smooth K= 5 EW,5,ew,none,0.1538,0.881,-0.5477,0.525,0.1823,219,0,0.01338,0.05264,1.8
mom_lowvol K=20 EW,20,ew,none,0.1643,0.873,-0.4747,0.498,0.1983,219,0,0.01442,0.05726,0.63
mom_qual K= 5 EW,5,ew,none,0.1769,0.868,-0.5316,0.493,0.2151,219,0,0.01555,0.06209,1.06
mom_lowvol K=20 inv_vol,20,inv_vol,none,0.1579,0.852,-0.4732,0.493,0.1961,219,0,0.01392,0.05662,0.82
mom_qual K= 5 inv_vol,5,inv_vol,none,0.1676,0.842,-0.5324,0.493,0.2112,219,0,0.01483,0.06097,1.02
ml_smooth K=10 EW,10,ew,none,0.1255,0.834,-0.5765,0.484,0.1574,219,0,0.01095,0.04545,1.9
mom_lowvol K=10 EW,10,ew,none,0.1663,0.82,-0.5124,0.484,0.2183,219,0,0.01491,0.063,0.64
mom_lowvol K=10 inv_vol,10,inv_vol,none,0.1626,0.815,-0.4987,0.479,0.2145,219,0,0.01457,0.06192,0.71
mom_lowvol K= 5 inv_vol,5,inv_vol,none,0.1748,0.803,-0.5742,0.484,0.2361,219,0,0.0158,0.06815,0.63
mom_lowvol K= 5 EW,5,ew,none,0.1762,0.799,-0.5924,0.475,0.24,219,0,0.01598,0.06929,0.61
