name,top_k,cagr,sharpe,max_dd,win_rate,ann_vol,n_months,cash_months,mean_m,std_m,avg_scale
lgbm×0.7+sh12×0.3 K= 40 + voltarget(18%) + regime_loose,40,0.5834,1.799,-0.1582,0.475,0.2796,179,23,0.04193,0.08072,0.836
lgbm×0.7+sh12×0.3 K= 30 + voltarget(18%) + regime_loose,30,0.6218,1.784,-0.1542,0.48,0.2986,179,23,0.04438,0.0862,0.836
lgbm×0.7+sh12×0.3 K= 50 + voltarget(18%) + regime_loose,50,0.536,1.762,-0.15,0.469,0.266,179,23,0.03906,0.0768,0.836
lgbm K= 50 score×inv_vol + voltarget(18%) + regime_loose,50,0.626,1.744,-0.1371,0.48,0.3082,179,23,0.04478,0.08897,0.836
lgbm K= 40 score×inv_vol + voltarget(18%) + regime_loose,40,0.6575,1.74,-0.1465,0.469,0.3224,179,23,0.04674,0.09306,0.836
lgbm K= 50 inv_vol + voltarget(18%) + regime_loose [ref],50,0.5687,1.74,-0.1441,0.486,0.2843,179,23,0.04123,0.08206,0.836
lgbm K= 40 inv_vol + voltarget(18%) + regime_loose [ref],40,0.6162,1.737,-0.1499,0.469,0.3054,179,23,0.04421,0.08817,0.836
lgbm×0.5+sh12×0.5 K= 40 + voltarget(18%) + regime_loose,40,0.4962,1.725,-0.1672,0.48,0.2546,179,23,0.0366,0.07349,0.836
lgbm×0.5+sh12×0.5 K= 30 + voltarget(18%) + regime_loose,30,0.5303,1.716,-0.1647,0.469,0.2717,179,23,0.03885,0.07844,0.836
lgbm×0.5+sh12×0.5 K= 50 + voltarget(18%) + regime_loose,50,0.4552,1.701,-0.1458,0.469,0.2395,179,23,0.03394,0.06913,0.836
lgbm K= 30 score×inv_vol + voltarget(18%) + regime_loose,30,0.6958,1.696,-0.1443,0.475,0.3488,179,23,0.04928,0.10068,0.836
lgbm K= 60 score×inv_vol + voltarget(18%) + regime_loose,60,0.5548,1.693,-0.1687,0.486,0.2873,179,23,0.04054,0.08294,0.836
