name,top_k,cagr,sharpe,max_dd,win_rate,ann_vol,n_months,cash_months,mean_m,std_m,avg_scale,ratio
ENSEMBLE std×0.7+sh_lgbm×0.3+sh12+sh5y K=40 vt18%,40,0.5516,1.756,-0.1325,0.464,0.2737,179,23,0.04005,0.07901,0.836,0.5069
STANDARD lgbm K= 50 inv_vol + vt18% + loose,50,0.5687,1.74,-0.1441,0.486,0.2843,179,23,0.04123,0.08206,0.836,0.5024
STANDARD lgbm K= 40 inv_vol + vt18% + loose,40,0.6162,1.737,-0.1499,0.469,0.3054,179,23,0.04421,0.08817,0.836,0.5014
ENSEMBLE std×0.5+sh_lgbm×0.5+sh12+sh5y K=40 vt18%,40,0.5011,1.716,-0.1223,0.453,0.258,179,23,0.03689,0.07447,0.836,0.4954
STANDARD lgbm K= 30 inv_vol + vt18% + loose,30,0.6523,1.703,-0.1426,0.475,0.3282,179,23,0.04657,0.09475,0.836,0.4915
SH_LGBM blend K= 40 + d200+rs + vt18% + loose,40,0.4109,1.689,-0.1108,0.447,0.2197,179,23,0.03093,0.06342,0.836,0.4877
SH_LGBM blend K= 50 + d200+rs + vt18% + loose,50,0.3894,1.673,-0.1128,0.458,0.2115,179,23,0.02949,0.06106,0.836,0.483
ENSEMBLE std×0.3+sh_lgbm×0.7+sh12+sh5y K=40 vt18%,40,0.4497,1.668,-0.1246,0.447,0.2417,179,23,0.0336,0.06977,0.836,0.4816
SH_LGBM blend K= 30 + d200+rs + vt18% + loose,30,0.4325,1.668,-0.1057,0.447,0.2334,179,23,0.03245,0.06739,0.836,0.4815
SH_LGBM×0.70+sh12×0.20+sh5y×0.10 K= 30 + vt18% + loose,30,0.4201,1.648,-0.1064,0.458,0.2305,179,23,0.03165,0.06654,0.836,0.4756
SHARPE_TARGET lgbm K= 40 inv_vol + vt18% + loose,40,0.3903,1.641,-0.1175,0.453,0.2165,179,23,0.02961,0.0625,0.836,0.4737
SH_LGBM×1.00+sh12×0.00 K= 40 + vt18% + loose,40,0.3903,1.641,-0.1175,0.453,0.2165,179,23,0.02961,0.0625,0.836,0.4737
SH_LGBM×0.70+sh12×0.20+sh5y×0.10 K= 50 + vt18% + loose,50,0.3659,1.633,-0.1143,0.458,0.2052,179,23,0.02793,0.05924,0.836,0.4715
SH_LGBM×0.60+sh12×0.40 K= 40 + vt18% + loose,40,0.3806,1.625,-0.111,0.458,0.214,179,23,0.02898,0.06177,0.836,0.4692
SH_LGBM×0.70+sh12×0.20+sh5y×0.10 K= 60 + vt18% + loose,60,0.3467,1.621,-0.1161,0.464,0.197,179,23,0.0266,0.05686,0.836,0.4679
SHARPE_TARGET lgbm K= 50 inv_vol + vt18% + loose,50,0.3658,1.617,-0.135,0.453,0.2074,179,23,0.02795,0.05987,0.836,0.4669
SH_LGBM×0.70+sh12×0.20+sh5y×0.10 K= 40 + vt18% + loose,40,0.3719,1.616,-0.11,0.43,0.2109,179,23,0.0284,0.06089,0.836,0.4664
SH_LGBM×0.85+sh12×0.15 K= 40 + vt18% + loose,40,0.3904,1.606,-0.1126,0.447,0.2219,179,23,0.02969,0.06405,0.836,0.4636
SH_LGBM×0.70+sh12×0.30 K= 40 + vt18% + loose,40,0.3974,1.604,-0.1139,0.453,0.2259,179,23,0.03019,0.06521,0.836,0.463
SH_LGBM×0.70+sh12×0.20+sh5y×0.10 K= 20 + vt18% + loose,20,0.4543,1.604,-0.101,0.447,0.2551,179,23,0.03409,0.07364,0.836,0.4629
SHARPE_TARGET lgbm K= 30 inv_vol + vt18% + loose,30,0.4072,1.597,-0.1292,0.436,0.232,179,23,0.03088,0.06697,0.836,0.4611
SH_LGBM×0.50+sh12×0.50 K= 40 + vt18% + loose,40,0.3615,1.593,-0.1213,0.458,0.2088,179,23,0.02772,0.06027,0.836,0.4598
