n_months,cagr,sharpe,sortino,max_dd,best_m,worst_m,positive_months,total_months,cash_months,sub_sharpes,sub_sharpe_min,exp_name,K,wall_time_s
248,0.12344950803861954,0.9954690884492495,1.9618780510616964,-0.18455346081619162,0.17873826199362855,-0.11659699254505206,154,248,4,"[1.031705586708649, 1.3522857526306593, 0.7712904456070595]",0.7712904456070595,ra_pred_div_vol_K3,3,0.18
248,0.11796346762336474,1.003096872877309,1.8066576106637529,-0.26056125134649893,0.12934056055606089,-0.17434166818194236,153,248,4,"[1.170271001919534, 1.7900520361772143, 0.5034461480031647]",0.5034461480031647,ra_pred_div_vol_K5,5,0.19
248,0.12841267059376404,1.0913753567651587,2.04216344629544,-0.23298537369727362,0.14664795317239035,-0.16036133044822365,158,248,4,"[1.1655590524197776, 1.760727381731847, 0.6787070925248103]",0.6787070925248103,ra_pred_div_vol_K7,7,0.21
248,0.126739271756241,1.1182672721055644,2.0453485230722994,-0.22741452717845434,0.12908575171929298,-0.14686627424174473,164,248,4,"[1.2923164716414657, 1.6644949457417222, 0.774193835602983]",0.774193835602983,ra_pred_div_vol_K10,10,0.23
248,0.13516647017788141,0.9956700635957441,1.7247765640251673,-0.337919478289928,0.1430165291772766,-0.16690457836292696,165,248,4,"[1.3575208660114066, 1.85973663692309, 0.41866958944652627]",0.41866958944652627,ra_rank_blend_K3,3,0.22
248,0.13178482668259361,1.0014933395224819,1.7640735410519583,-0.30911475797199134,0.10826314219497643,-0.1353516028520449,162,248,4,"[1.410665293718793, 1.6629958919045937, 0.39857307351588234]",0.39857307351588234,ra_rank_blend_K5,5,0.24
248,0.12187360816946602,0.9416955589277729,1.62733028081762,-0.29634294689597007,0.11184436251742613,-0.13189301119275904,165,248,4,"[1.2321898652530396, 1.7152918857156776, 0.40050132983352416]",0.40050132983352416,ra_rank_blend_K7,7,0.23
248,0.12687289698793136,0.9895322331878998,1.8085333552195655,-0.25625084913587104,0.12267543297785105,-0.10954572662135112,159,248,4,"[1.1466919918543546, 1.8463594614439822, 0.47822618535083905]",0.47822618535083905,ra_rank_blend_K10,10,0.25
248,0.21648407775298972,0.7997921514000039,1.5377075675143088,-0.5960136365049464,0.4104257813246879,-0.257604866642104,152,248,4,"[0.5904015196451348, 1.1138885906490983, 0.8831232532817159]",0.5904015196451348,dq_vc0.55_K3,3,0.22
248,0.18755921945150256,0.7885940151264847,1.43856087145388,-0.5334101958416458,0.3499391846329284,-0.2516998271654581,157,248,4,"[0.8152208260563946, 0.9606269612806945, 0.7308622807816676]",0.7308622807816676,dq_vc0.55_K5,5,0.25
248,0.218561487610468,0.8293056309354524,1.588812455464828,-0.4820968608653091,0.31835976181133474,-0.257604866642104,151,248,4,"[0.6274045649572496, 1.104226160846855, 0.8634745111396476]",0.6274045649572496,dq_vc0.60_K3,3,0.22
248,0.2065080611467658,0.8418533220174798,1.5829300787630916,-0.4698951006797307,0.3833698821204381,-0.2516998271654581,155,248,4,"[0.732454531599826, 0.9195688354505644, 0.9697063683686477]",0.732454531599826,dq_vc0.60_K5,5,0.24
248,0.23637562413639301,0.8368739749166976,1.6530395177443113,-0.5784701886276791,0.4221964942443618,-0.257604866642104,155,248,4,"[0.22232172393069455, 1.104226160846855, 1.3034686031452494]",0.22232172393069455,dq_vc0.65_K3,3,0.22
248,0.2201973559024064,0.8536488460919469,1.6501309033952596,-0.5115137469950877,0.45237976195212914,-0.2516998271654581,156,248,4,"[0.5218498434492397, 0.9195688354505644, 1.2346759775131224]",0.5218498434492397,dq_vc0.65_K5,5,0.24
248,0.2887399156140167,0.8605689542658672,1.9354286552401005,-0.5701471096777068,0.7846420005391264,-0.257604866642104,158,248,4,"[0.22602151653016345, 1.1016245288444095, 1.2393793412703331]",0.22602151653016345,dq_vc0.70_K3,3,0.22
248,0.23742267817014073,0.889053550121284,1.757688018534271,-0.4255092492122328,0.3829898687106625,-0.2516998271654581,159,248,4,"[0.525332665003323, 0.9820971130570577, 1.2221187010176522]",0.525332665003323,dq_vc0.70_K5,5,0.24
248,0.2919984437981342,0.8270879205566501,1.8570817092754517,-0.7090105034979512,0.7846420005391264,-0.3067619266430402,159,248,4,"[0.18200012550461775, 1.1806390567074492, 1.2393793412703331]",0.18200012550461775,dq_vc0.75_K3,3,0.23
248,0.23022282429760277,0.8399169428766634,1.6901368825858276,-0.5161545420347716,0.5046827934181425,-0.2516998271654581,158,248,4,"[0.44087533542324076, 0.9669264695065812, 1.2221187010176522]",0.44087533542324076,dq_vc0.75_K5,5,0.24
248,0.30748548340279247,0.8773416644123018,1.9857733574499918,-0.6537009447823464,0.7846420005391264,-0.2725224043286029,161,248,4,"[0.2558195301760274, 1.2334176673696655, 1.1722963957333212]",0.2558195301760274,dq_vc0.80_K3,3,0.22
248,0.23800940582971952,0.825595716940225,1.7039682310844964,-0.5873656844635362,0.6199921113503655,-0.2598756166654499,158,248,4,"[0.4494679172435385, 1.1208888093478009, 1.0805989273262975]",0.4494679172435385,dq_vc0.80_K5,5,0.24
248,0.3222779881820741,0.8585718922395428,2.1330163823162684,-0.5186221366455775,0.7829904610708289,-0.3123220471501253,153,248,4,"[0.6943093293551817, 0.932593808428126, 1.1338804115062058]",0.6943093293551817,don_invvol_K3_vc1.0,3,0.33
248,0.18603220072614302,0.7874146167994708,1.5098459650970144,-0.5634576911242449,0.41281266923498855,-0.2600862021586905,152,248,4,"[0.3625931458991355, 0.9528438381400122, 1.1453503489784453]",0.3625931458991355,don_invvol_K3_vc0.65,3,0.35
248,0.18932857027966454,0.7564936045558005,1.5018010264456583,-0.5727218497535929,0.46537757929315643,-0.2600862021586905,150,248,4,"[0.31644534635588395, 0.932593808428126, 1.1065691441179002]",0.31644534635588395,don_invvol_K3_vc0.7,3,0.34
248,0.17780313123676406,0.6704651476689422,1.3512706985130625,-0.7006555979999773,0.705283438055875,-0.30365983870176205,150,248,4,"[0.22691324178365768, 0.932593808428126, 1.1065691441179002]",0.22691324178365768,don_invvol_K3_vc0.75,3,0.34
248,0.2547685415863856,0.8502958725316819,1.8797025808838235,-0.6749256031055774,0.5843579892696914,-0.2601246340867736,165,248,4,"[0.527013086934417, 1.1723854223349721, 1.2015711457971319]",0.527013086934417,don_invvol_K5_vc1.0,5,0.38
248,0.21090385140790202,0.8949833165305843,1.767603748925421,-0.4680862299263635,0.3702794274053608,-0.23920589501103395,165,248,4,"[0.5812869907242294, 1.1723854223349721, 0.9988879013839737]",0.5812869907242294,don_invvol_K5_vc0.7,5,0.4
248,0.20735288238456384,0.8494179377714371,1.707820846960802,-0.5424535906433535,0.4925885525628457,-0.23920589501103395,164,248,4,"[0.49544870970700067, 1.1723854223349721, 0.9988879013839737]",0.49544870970700067,don_invvol_K5_vc0.75,5,0.41
248,0.17711111022324744,0.7249743886931007,1.453155768740637,-0.6561417769067526,0.5130489357853042,-0.29513031067265655,159,248,4,"[0.4648083588212793, 1.0870228023952093, 0.9356208047076529]",0.4648083588212793,don_invvol_K7_vc1.0,7,0.44
248,0.1623349870770805,0.7598173144238319,1.5108627692513883,-0.5174715120279184,0.48707662976530897,-0.22238652300369885,156,248,4,"[0.495142334870667, 1.1369894580831195, 0.8133795434884762]",0.495142334870667,don_invvol_K7_vc0.75,7,0.48
248,0.4077830824086164,0.9528969959301917,2.6118827760163787,-0.4982861928502928,0.8495509234283266,-0.33579423812059533,155,248,4,"[0.9320930238993381, 1.1660459709382425, 1.0168407401888244]",0.9320930238993381,lgbm_wf_K3,3,0.2
248,0.2991550348701866,0.8439587063022979,2.031207091764972,-0.5909142089595415,0.6831168431740362,-0.30405007199036277,157,248,4,"[0.8371538844032086, 1.0136069223608153, 0.9520691537014827]",0.8371538844032086,lgbm_wf_K5,5,0.22
248,0.282540355185656,0.8707808075227202,1.9972340898382834,-0.5756360680581869,0.6202794092447407,-0.3140563584629184,162,248,4,"[0.8466012081795447, 1.1183426436792372, 0.9317182380993998]",0.8466012081795447,lgbm_wf_K7,7,0.24
248,0.265693264100195,0.8998052145539108,1.9909289318859105,-0.5129299105391338,0.47478661171442776,-0.2411743269102984,162,248,4,"[0.8755523837916053, 1.156671928510638, 0.9323407405061611]",0.8755523837916053,lgbm_wf_K10,10,0.28
248,0.4077830824086164,0.9528969959301917,2.6118827760163787,-0.4982861928502928,0.8495509234283266,-0.33579423812059533,155,248,4,"[0.9320930238993381, 1.1660459709382425, 1.0168407401888244]",0.9320930238993381,lgbm_sharpe_K3,3,0.17
248,0.2991550348701866,0.8439587063022979,2.031207091764972,-0.5909142089595415,0.6831168431740362,-0.30405007199036277,157,248,4,"[0.8371538844032086, 1.0136069223608153, 0.9520691537014827]",0.8371538844032086,lgbm_sharpe_K5,5,0.18
248,0.282540355185656,0.8707808075227202,1.9972340898382834,-0.5756360680581869,0.6202794092447407,-0.3140563584629184,162,248,4,"[0.8466012081795447, 1.1183426436792372, 0.9317182380993998]",0.8466012081795447,lgbm_sharpe_K7,7,0.21
248,0.265693264100195,0.8998052145539108,1.9909289318859105,-0.5129299105391338,0.47478661171442776,-0.2411743269102984,162,248,4,"[0.8755523837916053, 1.156671928510638, 0.9323407405061611]",0.8755523837916053,lgbm_sharpe_K10,10,0.24
