sleeve,sharpe_scr,mean_m,sd_m,n_weeks,hit
A_credit_putspread_uncond,0.568,0.031,0.192,302,0.871
A_credit_putspread_cont+mom,0.454,0.025,0.19,166,0.898
A_credit_putspread_contango,0.379,0.022,0.197,211,0.877
A_credit_putspread_mom1w>0,0.319,0.019,0.206,241,0.867
A_credit_putspread_cont+ivr<.8,0.306,0.019,0.214,181,0.878
B_str25_idioinv>0.13_liq,0.283,0.013,0.155,83,0.639
B_str25_idioinv>0.09_liq,0.244,0.011,0.155,144,0.667
B_hold_idioinv>0.13,0.147,0.004,0.105,103,0.534
B_str25_idioinv>0.06_liq,0.116,0.005,0.146,178,0.612
A_short_strangle25_cont+mom,0.073,0.002,0.111,154,0.695
A_iron_condor_cont+mom,0.067,0.005,0.24,166,0.693
A_short_strangle25_mom1w>0,0.039,0.001,0.116,224,0.679
A_short_strangle25_uncond,0.012,0.0,0.105,290,0.659
A_iron_condor_contango,-0.077,-0.005,0.24,211,0.654
A_short_strangle25_contango,-0.085,-0.003,0.106,194,0.67
A_iron_condor_mom1w>0,-0.108,-0.008,0.245,241,0.647
A_iron_condor_uncond,-0.109,-0.007,0.223,302,0.626
A_short_strangle25_cont+ivr<.8,-0.11,-0.004,0.113,166,0.687
A_short_straddle_dh_cont+mom,-0.14,-0.001,0.036,166,0.542
A_short_straddle_dh_uncond,-0.149,-0.002,0.035,302,0.55
D_put_skewrich_liq,-0.17,-0.01,0.204,236,0.61
A_iron_condor_cont+ivr<.8,-0.197,-0.014,0.25,181,0.652
A_short_straddle_dh_mom1w>0,-0.239,-0.003,0.036,241,0.515
B_hold_idioinv>0.09,-0.285,-0.008,0.092,163,0.436
A_short_straddle_dh_contango,-0.292,-0.003,0.036,211,0.54
B_str25_idioinv>0.04_liq,-0.335,-0.014,0.142,191,0.539
B_str25_idioinv>0.02_liq,-0.384,-0.011,0.103,195,0.513
A_short_straddle_dh_cont+ivr<.8,-0.413,-0.004,0.036,181,0.525
C_shortonly_cy+mom_liq,-0.424,-0.007,0.057,276,0.446
B_hold_idioinv>0.06,-0.49,-0.012,0.083,187,0.471
D_put_skewrich,-0.509,-0.023,0.157,261,0.579
C_shortonly_cy+mom_liq_ivr,-0.576,-0.013,0.078,186,0.414
C_shortonly_cy_liq,-0.616,-0.011,0.061,276,0.42
C_shortonly_mom_liq,-0.694,-0.009,0.045,276,0.413
C_shortonly_cy_liq_ivr,-0.752,-0.019,0.086,186,0.419
C_ls_mom_liq,-0.789,-0.019,0.083,276,0.366
C_shortonly_mom_liq_ivr,-0.884,-0.016,0.061,186,0.446
B_hold_idioinv>0.04,-1.075,-0.02,0.065,205,0.395
B_hold_idioinv>0.02,-1.158,-0.017,0.051,215,0.367
C_ls_cy+mom_liq,-1.167,-0.029,0.086,276,0.308
C_ls_cy_liq,-1.363,-0.037,0.094,276,0.315
D_call_skewpoor_liq,-1.424,-0.084,0.203,252,0.393
C_ls_mom,-1.644,-0.034,0.072,276,0.286
D_call_skewpoor,-2.142,-0.1,0.162,260,0.269
C_ls_cy+mom,-2.445,-0.054,0.076,276,0.203
C_ls_cy,-2.856,-0.068,0.082,276,0.141
